Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2016,8,1,0,0,0,0,—,—,—,—,—
Mandai,2016,8,2,0,0,0,0,—,—,—,—,—
Mandai,2016,8,3,2,1.4,1.6,1.8,—,—,—,—,—
Mandai,2016,8,4,0,0,0,0,—,—,—,—,—
Mandai,2016,8,5,0.2,0.2,0.2,0.2,—,—,—,—,—
Mandai,2016,8,6,0,0,0,0,—,—,—,—,—
Mandai,2016,8,7,0,0,0,0,—,—,—,—,—
Mandai,2016,8,8,0,0,0,0,—,—,—,—,—
Mandai,2016,8,9,0,0,0,0,—,—,—,—,—
Mandai,2016,8,10,0,0,0,0,—,—,—,—,—
Mandai,2016,8,11,3.6,2.6,3.2,3.6,—,—,—,—,—
Mandai,2016,8,12,5.8,5.2,5.2,5.2,—,—,—,—,—
Mandai,2016,8,13,1.8,1.8,1.8,1.8,—,—,—,—,—
Mandai,2016,8,14,0.2,0.2,0.2,0.2,—,—,—,—,—
Mandai,2016,8,15,0,0,0,0,—,—,—,—,—
Mandai,2016,8,16,0,0,0,0,—,—,—,—,—
Mandai,2016,8,17,23,21,23,23,—,—,—,—,—
Mandai,2016,8,18,0.2,0.2,0.2,0.2,—,—,—,—,—
Mandai,2016,8,19,19.2,8.8,16.4,18,—,—,—,—,—
Mandai,2016,8,20,1.4,1.4,1.4,1.4,—,—,—,—,—
Mandai,2016,8,21,25.8,15,24.8,25.4,—,—,—,—,—
Mandai,2016,8,22,0,0,0,0,—,—,—,—,—
Mandai,2016,8,23,0,0,0,0,—,—,—,—,—
Mandai,2016,8,24,26.6,12.4,18,24.2,—,—,—,—,—
Mandai,2016,8,25,0,0,0,0,—,—,—,—,—
Mandai,2016,8,26,0,0,0,0,—,—,—,—,—
Mandai,2016,8,27,0,0,0,0,—,—,—,—,—
Mandai,2016,8,28,0,0,0,0,—,—,—,—,—
Mandai,2016,8,29,0,0,0,0,—,—,—,—,—
Mandai,2016,8,30,2.2,0.8,1.4,1.4,—,—,—,—,—
Mandai,2016,8,31,1.4,1.4,1.4,1.4,—,—,—,—,—
