Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (West),2014,9,1,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2014,9,2,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2014,9,3,14.2,4,6.4,10.6,—,—,—,—,—
Choa Chu Kang (West),2014,9,4,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2014,9,5,0.6,0.4,0.6,0.6,—,—,—,—,—
Choa Chu Kang (West),2014,9,6,2.4,1.6,2.4,2.4,—,—,—,—,—
Choa Chu Kang (West),2014,9,7,0.2,0.2,0.2,0.2,—,—,—,—,—
Choa Chu Kang (West),2014,9,8,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2014,9,9,73.8,22.8,37.8,50.6,—,—,—,—,—
Choa Chu Kang (West),2014,9,10,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2014,9,11,22,7.8,8.8,14.8,—,—,—,—,—
Choa Chu Kang (West),2014,9,12,0.2,0.2,0.2,0.2,—,—,—,—,—
Choa Chu Kang (West),2014,9,13,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2014,9,14,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2014,9,15,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2014,9,16,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2014,9,17,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2014,9,18,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2014,9,19,10,7.8,8.8,8.8,—,—,—,—,—
Choa Chu Kang (West),2014,9,20,14,8.6,11,11.4,—,—,—,—,—
Choa Chu Kang (West),2014,9,21,3,1,1.2,2,—,—,—,—,—
Choa Chu Kang (West),2014,9,22,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2014,9,23,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2014,9,24,—,—,—,—,—,—,—,—,—
Choa Chu Kang (West),2014,9,25,—,—,—,—,—,—,—,—,—
Choa Chu Kang (West),2014,9,26,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2014,9,27,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2014,9,28,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2014,9,29,0,0,0,0,—,—,—,—,—
Choa Chu Kang (West),2014,9,30,0,0,0,0,—,—,—,—,—
