date,latitude,longitude,numberofcases,comments
2016-01-11,1.3465716,103.9336374,1,Tampines Avenue 1 (Blk 890B)
2016-01-11,1.3497514,103.9344215,3,Tampines Avenue 3
2016-01-11,1.3516172,103.94133,82,Tampines Avenue 4
2016-01-11,1.34703,103.937957,2,Tampines Avenue 4 (Blk 801)
2016-01-11,1.345189,103.93787,3,Tampines Avenue 4 (Blk 803)
2016-01-11,1.3457286,103.9374662,11,Tampines Avenue 4 (Blk 804)
2016-01-11,1.346217,103.937214,5,Tampines Avenue 4 (Blk 805)
2016-01-11,1.3455016,103.936761,10,Tampines Avenue 4 (Blk 806)
2016-01-11,1.345854,103.936136,5,Tampines Avenue 4 (Blk 807)
2016-01-11,1.346469,103.9360159,4,Tampines Avenue 4 (Blk 808)
2016-01-11,1.359961,103.885823,2,Tampines Avenue 4 (Blk 809)
2016-01-11,1.359961,103.885823,5,Tampines Avenue 4 (Blk 810)
2016-01-11,1.346566,103.937215,5,Tampines Avenue 4 (Blk 811)
2016-01-11,1.346973,103.937397,6,Tampines Avenue 4 (Blk 812)
2016-01-11,1.3671771,103.9278919,2,Tampines Avenue 4 (Blk 816)
2016-01-11,1.3488598,103.9348281,1,Tampines Street 81 (Blk 813)
2016-01-11,1.3488598,103.9348281,8,Tampines Street 81 (Blk 814)
2016-01-11,1.3488598,103.9348281,4,Tampines Street 81 (Blk 818)
2016-01-11,1.3488598,103.9348281,4,Tampines Street 81 (Blk 819)
2016-01-11,1.347988,103.936179,1,Tampines Street 81 (Blk 820)
2016-01-11,1.3488346,103.9320276,1,Tampines Street 81 (Blk 894)
2016-01-11,1.347971,103.9318569,3,Tampines Street 81 (Blk 894A)
2016-01-11,1.3476655,103.9324465,1,Tampines Sterret 81 (Blk 895A)
2016-01-11,1.3465454,103.935472,2,Tampines Street 81 (Blk 899)
2016-01-11,1.3488598,103.9348281,1,Tampines Street 81 (Blk 899A)
2016-01-11,1.3476439,103.9404331,1,Tampines Street 91 (Blk 927)
2016-01-11,1.3463015,103.9396416,3,Tampines Street 91 (Blk 929)
2016-01-11,1.3455685,103.9398229,8,Tampines Street 91 (Blk 932)
2016-01-11,1.3476439,103.9404331,11,Tampines Street 91 (Blk 933)
2016-01-11,1.3476439,103.9404331,1,Tampines Street 91 (Blk 934)
2016-01-11,1.365865,103.9543875,2,Pasir Ris Street 11 (Blk 110)
2016-01-11,1.365865,103.9543875,6,Pasir Ris Street 11 (Blk 111)
2016-01-11,1.365865,103.9543875,12,Pasir Ris Street 11 (Blk 112)
2016-01-11,1.365865,103.9543875,5,Pasir Ris Street 11 (Blk 113)
2016-01-11,1.3686896,103.9545084,1,Pasir Ris Street 11 (Blk 116)
2016-01-11,1.3678825,103.9547804,1,Pasir Ris Street 11 (Blk 117)
2016-01-11,1.365865,103.9543875,3,Pasir Ris Street 11 (Blk 119)
2016-01-11,1.3652882,103.9580519,1,Pasir Ris Street 11 (Blk 120)
2016-01-11,1.3652882,103.9580519,3,Pasir Ris Street 11 (Blk 121)
2016-01-11,1.3652882,103.9580519,2,Pasir Ris Street 11 (Blk 122)
2016-01-11,1.365865,103.9543875,1,Pasir Ris Street 11 (Blk 124)
2016-01-11,1.3652882,103.9580519,1,Pasir Ris Street 11 (Blk 125)
2016-01-11,1.3653337,103.9580673,3,Pasir Ris Street 11 (Blk 126)
2016-01-11,1.3652882,103.9580519,2,Pasir Ris Street 11 (Blk 127)
2016-01-11,1.3652882,103.9580519,4,Pasir Ris Street 11 (Blk 128)
2016-01-11,1.3652882,103.9580519,16,Pasir Ris Street 11 (Blk 129)
2016-01-11,1.3652882,103.9580519,5,Pasir Ris Street 11 (Blk 132)
2016-01-11,1.3652882,103.9580519,3,Pasir Ris Street 11 (Blk 133)
