date,latitude,longitude,numberofcases,comments
2016-05-25,1.3117342,103.8756637,2,Geylang Road
2016-05-25,1.3096,103.8784776,3,Guillemard Road
2016-05-25,1.352083,103.819836,4,Guillemard Road (Guillemard View)
2016-05-25,1.3115722,103.882711,1,Jalan Molek
2016-05-25,1.3121943,103.8824062,7,Jalan Suka
2016-05-25,1.3122157,103.8833463,5,Lorong 24 Geylang
2016-05-25,1.3109173,103.8840484,2,Lorong 24A Geylang
2016-05-25,1.313615,103.884772,2,Lorong 26 Geylang
2016-05-25,1.3135932,103.8862916,1,Lorong 30 Geylang
2016-05-25,1.352083,103.819836,1,Lorong 24 Geylang (Edenz Loft)
2016-05-25,1.352083,103.819836,1,Lorong 26 Geylang (28 Imperial Residences)
2016-05-25,1.352083,103.819836,2,Lorong 26 Geylang (Casa Aerata)
2016-05-25,1.31215,103.8846,1,Lorong 26 Geylang (Guilin Court)
2016-05-25,1.352083,103.819836,1,Lorong 27 Geylang (Excellence Mansions)
2016-05-25,1.352083,103.819836,1,Lorong 27A Geylang (Balmy Court)
2016-05-25,1.352083,103.819836,1,Lorong 30 Geylang (Cosy 23)
2016-05-25,1.352083,103.819836,5,Lorong 30 Geylang (Guillemard Edge)
2016-05-25,1.312513,103.886321,2,Lorong 30 Geylang (Suites 28)
2016-05-25,1.352083,103.819836,1,Lorong 30 Geylang (The Midas)
2016-05-25,1.311914,103.886988,4,Lorong 32 Geylang
2016-05-25,1.352083,103.819836,1,Lorong 32 Geylang (Casa Emerald)
2016-05-25,1.352083,103.819836,1,Lorong 32 Geylang (Leshan Gardens)
2016-05-25,1.352083,103.819836,1,Lorong 32 Geylang (NESS)
2016-05-25,1.311914,103.886988,2,Lorong 32 Geylang
2016-05-25,1.352083,103.819836,4,Lorong 32 Geylang (Sunflower Residence)
2016-05-25,1.3403133,103.861398,1,Lorong 34 Geylang (Central Meadows)
2016-05-25,1.352083,103.819836,1,Lorong 34 Geylang (Geylang Heritage)
2016-05-25,1.4514857,103.8205527,1,Canberra Road (Blk 303)
2016-05-25,1.4447097,103.8167888,13,Sembawang Crescent
2016-05-25,1.447329,103.8176644,1,Sembawang Close (Blk 320)
2016-05-25,1.44678,103.816381,1,Sembawang Close (Blk 339A)
2016-05-25,1.4447498,103.8173961,1,Sembawang Crescent (Blk 325)
2016-05-25,1.4447097,103.8167888,2,Sembawang Crescent (Blk 327)
