Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Ulu Pandan,2016,5,1,0,0,0,0,—,—,—,—,—
Ulu Pandan,2016,5,2,9.2,7.4,9,9.2,—,—,—,—,—
Ulu Pandan,2016,5,3,0,0,0,0,—,—,—,—,—
Ulu Pandan,2016,5,4,0,0,0,0,—,—,—,—,—
Ulu Pandan,2016,5,5,4.2,4.2,4.2,4.2,—,—,—,—,—
Ulu Pandan,2016,5,6,0,0,0,0,—,—,—,—,—
Ulu Pandan,2016,5,7,1.2,1.2,1.2,1.2,—,—,—,—,—
Ulu Pandan,2016,5,8,3,2.8,3,3,—,—,—,—,—
Ulu Pandan,2016,5,9,9.8,4.6,4.8,5,—,—,—,—,—
Ulu Pandan,2016,5,10,0,0,0,0,—,—,—,—,—
Ulu Pandan,2016,5,11,10.2,7.2,9.8,10.2,—,—,—,—,—
Ulu Pandan,2016,5,12,0,0,0,0,—,—,—,—,—
Ulu Pandan,2016,5,13,0.6,0.6,0.6,0.6,—,—,—,—,—
Ulu Pandan,2016,5,14,32.6,11.4,18.8,28,—,—,—,—,—
Ulu Pandan,2016,5,15,25.6,16.8,24.2,25.4,—,—,—,—,—
Ulu Pandan,2016,5,16,2.6,1.2,2.2,2.4,—,—,—,—,—
Ulu Pandan,2016,5,17,0,0,0,0,—,—,—,—,—
Ulu Pandan,2016,5,18,12.2,8.8,10.6,11,—,—,—,—,—
Ulu Pandan,2016,5,19,0,0,0,0,—,—,—,—,—
Ulu Pandan,2016,5,20,0.5,0.5,0.5,0.5,—,—,—,—,—
Ulu Pandan,2016,5,21,14.5,12.5,13.5,14.5,—,—,—,—,—
Ulu Pandan,2016,5,22,41,19.8,33.4,38.8,—,—,—,—,—
Ulu Pandan,2016,5,23,0,0,0,0,—,—,—,—,—
Ulu Pandan,2016,5,24,10.6,10.6,10.6,10.6,—,—,—,—,—
Ulu Pandan,2016,5,25,0,0,0,0,—,—,—,—,—
Ulu Pandan,2016,5,26,0,0,0,0,—,—,—,—,—
Ulu Pandan,2016,5,27,0,0,0,0,—,—,—,—,—
Ulu Pandan,2016,5,28,26,18.5,20,20,—,—,—,—,—
Ulu Pandan,2016,5,29,0,0,0,0,—,—,—,—,—
Ulu Pandan,2016,5,30,0.4,0.4,0.4,0.4,—,—,—,—,—
Ulu Pandan,2016,5,31,0,0,0,0,—,—,—,—,—
