Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Yishun,2015,11,1,0.4,0.2,0.2,0.2,—,—,—,—,—
Yishun,2015,11,2,26.4,21.8,24.8,26.2,—,—,—,—,—
Yishun,2015,11,3,0,0,0,0,—,—,—,—,—
Yishun,2015,11,4,0.2,0.2,0.2,0.2,—,—,—,—,—
Yishun,2015,11,5,0,0,0,0,—,—,—,—,—
Yishun,2015,11,6,1.6,1.2,1.6,1.6,—,—,—,—,—
Yishun,2015,11,7,22.8,14.6,20,22.6,—,—,—,—,—
Yishun,2015,11,8,1,0.6,0.6,0.6,—,—,—,—,—
Yishun,2015,11,9,0,0,0,0,—,—,—,—,—
Yishun,2015,11,10,0.2,0.2,0.2,0.2,—,—,—,—,—
Yishun,2015,11,11,50.6,40.2,50,50.6,—,—,—,—,—
Yishun,2015,11,12,0.8,0.4,0.6,0.8,—,—,—,—,—
Yishun,2015,11,13,4.4,2,2.6,2.6,—,—,—,—,—
Yishun,2015,11,14,0,0,0,0,—,—,—,—,—
Yishun,2015,11,15,8.4,8,8,8.2,—,—,—,—,—
Yishun,2015,11,16,38,20.6,30.4,36.2,—,—,—,—,—
Yishun,2015,11,17,13.4,8.8,10.2,11.8,—,—,—,—,—
Yishun,2015,11,18,0,0,0,0,—,—,—,—,—
Yishun,2015,11,19,0,0,0,0,—,—,—,—,—
Yishun,2015,11,20,0,0,0,0,—,—,—,—,—
Yishun,2015,11,21,29.8,21.4,25.2,27.8,—,—,—,—,—
Yishun,2015,11,22,0,0,0,0,—,—,—,—,—
Yishun,2015,11,23,0,0,0,0,—,—,—,—,—
Yishun,2015,11,24,32,15,16.2,27.4,—,—,—,—,—
Yishun,2015,11,25,1.4,0.4,0.6,0.6,—,—,—,—,—
Yishun,2015,11,26,3.4,1.6,1.8,1.8,—,—,—,—,—
Yishun,2015,11,27,0,0,0,0,—,—,—,—,—
Yishun,2015,11,28,0,0,0,0,—,—,—,—,—
Yishun,2015,11,29,0.6,0.4,0.4,0.4,—,—,—,—,—
Yishun,2015,11,30,42.6,23.4,24.2,24.2,—,—,—,—,—
