WW,denguecases,AveUVIndex,MinUVIndex,MaxUVIndex,PSI,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,Max_Humidity_Percentage, Mean_Humidity_Percentage, Min_Humidity_Percentage,regionId
1,132,NULL,NULL,NULL,35.625,11.27777778,5.766666667,7.544444444,8.944444444,26.95,28.98,24.7,10.44,43.84,100,87,73,2
2,159,NULL,NULL,NULL,37.375,1.074074074,0.385185185,0.511111111,0.6,28.4,31.46428571,26.4,8.785714286,30.44285714,93.57142857,81,60.14285714,2
3,181,NULL,NULL,NULL,43.64880952,3.5,2.457142857,3.264285714,3.4,28.87142857,32.47142857,26.81428571,7.5,32.85714286,90.42857143,79.14285714,58,2
4,186,NULL,NULL,NULL,50.38690476,5.257142857,3.021428571,4.335714286,4.7,28.56428571,31.90714286,26.62142857,7.535714286,32.33571429,93,79.57142857,59.28571429,2
5,214,NULL,NULL,NULL,45.67261905,3.342857143,1.907142857,2.078571429,2.464285714,28.69285714,31.85,26.47857143,9.85,37.85714286,89.71428571,78,58.28571429,2
6,249,NULL,NULL,NULL,39.76785714,4.807407407,3.133333333,3.540740741,4.007407407,28.63571429,32.01428571,26.30714286,9.557142857,35.2,92,78,56.71428571,2
7,263,NULL,NULL,NULL,47.48809524,5.621428571,3.171428571,4.042857143,4.242857143,27.69285714,29.94285714,25.87142857,11.06428571,36.15714286,91,80.85714286,65,2
8,296,NULL,NULL,NULL,47.22619048,10.96428571,2.257142857,3.392857143,4.428571429,27.92142857,30.88571429,26.1,10.36428571,37.30714286,92.14285714,80,60.57142857,2
9,340,NULL,NULL,NULL,49.93452381,4.164285714,1.964285714,2.578571429,3.25,27.98571429,31.19285714,25.79285714,12.75714286,40.45,90.42857143,77.71428571,58.85714286,2
10,272,NULL,NULL,NULL,51.02976191,0.05,0.035714286,0.035714286,0.035714286,28.67857143,31.62857143,26.9,13.82857143,42.41428571,88.28571429,76.57142857,56.85714286,2
11,149,NULL,NULL,NULL,51.71428571,1.95,1.121428571,1.471428571,1.671428571,29.06428571,32.46428571,27,9.414285714,32.32142857,89.71428571,77.71428571,55,2
12,170,NULL,NULL,NULL,56.66666667,0.614285714,0.4,0.485714286,0.528571429,28.89285714,32.52857143,26.66428571,9.171428571,32.86428571,89,74,49.85714286,2
13,172,3,0,7,62.5952381,2.135714286,1.45,1.885714286,2.064285714,29.24285714,32.35,27.29285714,8.292857143,29.72142857,89,75.14285714,51.28571429,2
14,163,4,0,9,68.83928571,0.271428571,0.271428571,0.271428571,0.271428571,29.60714286,33.08571429,27.47142857,11.6,36.75,84.71428571,70.14285714,45,2
15,82,2,0,7,57.96428571,2.807142857,1.764285714,2.05,2.314285714,29.3,32.35714286,27.20714286,7.778571429,29.88571429,91.14285714,76.28571429,53.42857143,2
16,41,3,0,7,64.85714286,2.492857143,1.771428571,2.157142857,2.378571429,29.79285714,32.69285714,27.08571429,8.021428571,31.52857143,89.71428571,75.85714286,51.71428571,2
17,48,3,0,8,58.95238095,3.45,2.664285714,3.2,3.442857143,29.98571429,33.37142857,27.36428571,7.621428571,28.9,88.28571429,73.57142857,50.57142857,2
18,71,2,0,6,57.94642857,8.392857143,5.935714286,7.878571429,8.1,29.61428571,32.43571429,27.19285714,6.371428571,29.14285714,94.85714286,79.28571429,56.57142857,2
19,50,3,0,8,54.70833333,0.514285714,0.507142857,0.514285714,0.514285714,30.3,33.34285714,28.37142857,6.835714286,25.02142857,89,74.85714286,51,2
20,14,3,0,7,53.94642857,9.221428571,6.471428571,8.107142857,9.121428571,29.75,32.48571429,27.13571429,7.407142857,32.08571429,90.42857143,77.28571429,53.85714286,2
21,23,2,0,6,55.27380952,8.328571429,5.5,6.45,7.742857143,29.33571429,32.4,26.60714286,8.092857143,33.03571429,95.85714286,80.71428571,58.71428571,2
22,22,3,0,6,43.80952381,8.935714286,5.8,6.821428571,7.721428571,29.67142857,32.49285714,26.46428571,9.685714286,36.8,92.71428571,77.28571429,59.14285714,2
23,21,2,0,5,54.56547619,5.242857143,3.85,4.542857143,4.935714286,28.92857143,31.53571429,26.25,7.7,40.44285714,91.14285714,78.42857143,57.71428571,2
24,20,2,0,6,58.20238095,4.314285714,2.607142857,3.535714286,3.978571429,29.39285714,31.92142857,27.01428571,8.707142857,39.62142857,91.85714286,78.85714286,56.71428571,2
