Date,denguecases,AveUVIndex,MinUVIndex,MaxUVIndex,PSI,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,Max_Humidity_Percentage, Mean_Humidity_Percentage, Min_Humidity_Percentage,regionId
1/1/2016,132,NULL,NULL,NULL,32.70833333,2.02,0.78,0.9,1.02,27.65,29.63333333,25.5,12.13333333,42.83333333,100,84,64,2
1/2/2016,132,NULL,NULL,NULL,38.54166667,22.85,12,15.85,18.85,26.25,28,23.5,7.9,45.35,100,90,82,2
1/3/2016,132,NULL,NULL,NULL,42.70833333,7.05,2.45,3.3,3.9,26.25,27.85,25.15,6.5,27,100,92,83,2
1/4/2016,132,NULL,NULL,NULL,36.41666667,0.05,0.05,0.05,0.05,28.2,31.65,25.5,7.2,26.3,100,83,62,2
1/5/2016,135,NULL,NULL,NULL,37.16666667,0,0,0,0,28.9,31.95,26.75,8.45,27.35,94,82,55,2
1/6/2016,144,NULL,NULL,NULL,33.25,0,0,0,0,28.8,32.05,27.05,8.6,32.4,89,80,62,2
1/7/2016,149,NULL,NULL,NULL,38.66666667,0,0,0,0,28.9,31.95,27,11.15,30.95,89,76,57,2
1/8/2016,153,NULL,NULL,NULL,35.91666667,0,0,0,0,28.85,32.5,26.55,9.35,32.55,89,76,48,2
1/9/2016,159,NULL,NULL,NULL,37.5,0.15,0.1,0.1,0.1,28.9,32.3,26.8,10.25,36.55,94,78,54,2
1/10/2016,159,NULL,NULL,NULL,39.45833333,0,0,0,0,29.2,32.6,27.3,7.4,27.5,89,78,57,2
1/11/2016,159,NULL,NULL,NULL,41.875,2.4,1.25,1.85,2.35,28.8,32.85,26.5,7.4,31.3,89,78,58,2
1/12/2016,151,NULL,NULL,NULL,47.20833333,0,0,0,0,29.2,32.9,27.45,9.55,34.4,89,76,54,2
1/13/2016,158,NULL,NULL,NULL,40.25,0,0,0,0,29.2,33,27.25,9,28.05,89,77,58,2
1/14/2016,170,NULL,NULL,NULL,38.75,3.5,2.1,3.4,3.45,29,32.95,26.8,7.95,51.65,94,79,63,2
1/15/2016,178,NULL,NULL,NULL,43.95833333,13.9,9.35,13.1,13.35,28.3,31.5,26,5.95,30.6,89,82,62,2
1/16/2016,181,NULL,NULL,NULL,54.04166667,4.7,4.5,4.5,4.65,28.4,31.5,26.4,5.25,26.5,94,84,54,2
1/17/2016,181,NULL,NULL,NULL,55.79166667,26.35,13.6,22.5,24.6,28.2,31.95,25.7,5.95,30.1,100,86,67,2
1/18/2016,181,NULL,NULL,NULL,53.625,0.25,0.2,0.2,0.2,28.8,32.9,26.75,6.3,24.7,94,81,59,2
1/19/2016,194,NULL,NULL,NULL,53.58333333,1.6,1.6,1.6,1.6,28.75,31.5,26.9,7.75,34,91,79,61,2
1/20/2016,204,NULL,NULL,NULL,52.91666667,0.45,0.3,0.3,0.35,28.25,30.9,26.95,6.65,27.9,94,78,56,2
1/21/2016,164,NULL,NULL,NULL,46.83333333,0.55,0.4,0.5,0.5,28.65,31.15,27.1,7.95,30.25,89,77,55,2
1/22/2016,169,NULL,NULL,NULL,48.75,4.5,2.1,2.25,2.65,28.6,31.8,26.7,7.7,41.95,94,79,64,2
1/23/2016,186,NULL,NULL,NULL,41.20833333,3.1,2.95,3,3,28.7,33.15,26.25,10.45,37.45,89,77,53,2
1/24/2016,186,NULL,NULL,NULL,41.54166667,0.05,0.05,0.05,0.05,29.1,31.95,27.3,12.75,47.9,89,77,57,2
1/25/2016,186,NULL,NULL,NULL,44,4.15,2.65,2.8,3.2,28.5,31.55,26.3,11.2,44.45,84,76,59,2
1/26/2016,192,NULL,NULL,NULL,46.875,7.2,3.05,3.35,4.5,27.8,29.6,25.25,8.6,37.65,89,81,66,2
1/27/2016,212,NULL,NULL,NULL,48.25,0.6,0.55,0.55,0.55,28.95,32,26.8,9,29.15,94,79,59,2
1/28/2016,213,NULL,NULL,NULL,44.83333333,6.45,4.7,5.25,6.3,28.9,32.85,26.1,7.95,29.5,89,77,55,2
1/29/2016,214,NULL,NULL,NULL,51.375,4.95,2.35,2.55,2.65,28.55,32,26.55,9.35,42.85,94,79,60,2
1/30/2016,214,NULL,NULL,NULL,42.83333333,0,0,0,0,29.05,33,27.05,10.1,33.5,89,77,52,2
1/31/2016,214,NULL,NULL,NULL,37.75,3.7,2.3,3.05,3.6,28.65,32.6,26.45,9.35,32.95,84,75,53,2
2/1/2016,214,NULL,NULL,NULL,34.20833333,0,0,0,0,29.25,32.8,27,12.05,41.4,94,74,54,2
2/2/2016,220,NULL,NULL,NULL,35.25,4.9,2.85,3.25,4.35,28.2,31.55,25.2,9.75,39.25,100,79,54,2
2/3/2016,248,NULL,NULL,NULL,41.41666667,0.15,0.15,0.15,0.15,28.9,32.4,26.25,8.25,30.6,89,77,51,2
2/4/2016,243,NULL,NULL,NULL,39.625,4,3.95,3.95,3.95,28.25,31.75,26,8.45,35.25,89,79,64,2
2/5/2016,245,NULL,NULL,NULL,43.91666667,11.8,7.1,8.2,9.7,28.4,31.35,26.6,7.2,28.45,94,81,61,2
2/6/2016,249,NULL,NULL,NULL,46.20833333,7.9,4.8,5.3,5.3,28.8,31.65,26.65,11.85,38.5,94,81,60,2
2/7/2016,249,NULL,NULL,NULL,44.25,25.9,10.6,15.6,16.6,27.1,28.45,24.85,14.75,43.35,100,85,70,2
2/8/2016,249,NULL,NULL,NULL,56.45833333,0,0,0,0,27.8,29.15,26.8,14.4,45.75,83,74,64,2
2/9/2016,249,NULL,NULL,NULL,58.5,0,0,0,0,27.35,29.05,26.35,9.75,31.5,83,79,68,2
2/10/2016,249,NULL,NULL,NULL,54.33333333,1,0.3,0.45,0.8,27.25,29.3,26.1,10.8,34.75,89,82,70,2
2/11/2016,259,NULL,NULL,NULL,35.58333333,0.1,0.1,0.1,0.1,27.7,30.5,25.85,10.1,31.7,94,84,65,2
2/12/2016,260,NULL,NULL,NULL,39.20833333,12.35,11.2,12.15,12.2,28.1,32.1,24.4,9.55,37.45,94,81,61,2
2/13/2016,263,NULL,NULL,NULL,44.08333333,0,0,0,0,28.55,31.05,26.75,8.1,28.6,94,81,57,2
2/14/2016,263,NULL,NULL,NULL,36.54166667,0,0,0,0,28.85,31.95,26.95,8.45,28.05,94,81,62,2
2/15/2016,263,NULL,NULL,NULL,49.625,0,0,0,0,29.15,32.3,27.25,9.55,32.75,94,79,57,2
2/16/2016,265,NULL,NULL,NULL,47.20833333,0.05,0.05,0.05,0.05,28.75,31.5,27.2,14.75,45.2,89,76,54,2
2/17/2016,268,NULL,NULL,NULL,53.125,0,0,0,0,28.3,31.15,26.55,13.5,43.2,79,69,48,2
2/18/2016,278,NULL,NULL,NULL,56.70833333,0.65,0.65,0.65,0.65,28.25,31.2,26,9.9,37.8,89,76,57,2
2/19/2016,289,NULL,NULL,NULL,46.83333333,73.9,14.25,22.15,29.2,25.4,28.45,23.8,6.65,35.65,100,93,79,2
2/20/2016,296,NULL,NULL,NULL,40.54166667,2.15,0.85,0.9,1.1,26.75,29.65,24.95,9.75,38.5,100,86,67,2
2/21/2016,296,NULL,NULL,NULL,52.375,0,0,0,0,27.75,30.6,25.55,11.9,39.4,89,78,61,2
2/22/2016,296,NULL,NULL,NULL,52.5,0,0,0,0,28.3,31.85,26.2,12.05,37.05,84,73,51,2
2/23/2016,300,NULL,NULL,NULL,49.83333333,0.3,0.3,0.3,0.3,28.4,32.6,26.45,12.4,38,89,78,59,2
2/24/2016,313,NULL,NULL,NULL,47,28.8,13.4,17.7,22.4,26.6,29.4,24.2,11.35,41.4,100,89,78,2
2/25/2016,327,NULL,NULL,NULL,43.33333333,0.05,0.05,0.05,0.05,28,30.8,25.55,14.75,47.35,94,77,55,2
2/26/2016,331,NULL,NULL,NULL,52.29166667,0,0,0,0,28.35,31.3,26.45,13.7,39.1,83,72,52,2
2/27/2016,340,NULL,NULL,NULL,52.20833333,0,0,0,0,28.5,31.8,26.15,13.15,40.85,94,77,56,2
