Date,Year,WW,Month,UV_Index,RegionId
4/5/2016,2016,15,4,6,100
4/5/2016,2016,15,4,5,100
4/5/2016,2016,15,4,-1,100
4/5/2016,2016,15,4,-1,100
4/5/2016,2016,15,4,-1,100
4/5/2016,2016,15,4,-1,100
4/5/2016,2016,15,4,-1,100
4/5/2016,2016,15,4,-1,100
4/5/2016,2016,15,4,-1,100
4/4/2016,2016,15,4,2,100
4/4/2016,2016,15,4,4,100
4/4/2016,2016,15,4,3,100
4/4/2016,2016,15,4,3,100
4/4/2016,2016,15,4,4,100
4/4/2016,2016,15,4,7,100
4/4/2016,2016,15,4,6,100
4/4/2016,2016,15,4,4,100
4/4/2016,2016,15,4,1,100
4/4/2016,2016,15,4,0,100
4/4/2016,2016,15,4,0,100
4/3/2016,2016,15,4,1,100
4/3/2016,2016,15,4,0,100
4/3/2016,2016,15,4,1,100
4/3/2016,2016,15,4,4,100
4/3/2016,2016,15,4,5,100
4/3/2016,2016,15,4,3,100
4/3/2016,2016,15,4,5,100
4/3/2016,2016,15,4,3,100
4/3/2016,2016,15,4,1,100
4/3/2016,2016,15,4,0,100
4/3/2016,2016,15,4,0,100
4/16/2016,2016,16,4,2,100
4/16/2016,2016,16,4,5,100
4/16/2016,2016,16,4,8,100
4/16/2016,2016,16,4,9,100
4/16/2016,2016,16,4,6,100
4/16/2016,2016,16,4,8,100
4/16/2016,2016,16,4,6,100
4/16/2016,2016,16,4,3,100
4/16/2016,2016,16,4,1,100
4/16/2016,2016,16,4,0,100
4/16/2016,2016,16,4,-1,100
4/15/2016,2016,16,4,2,100
4/15/2016,2016,16,4,3,100
4/15/2016,2016,16,4,4,100
4/15/2016,2016,16,4,4,100
4/15/2016,2016,16,4,4,100
4/15/2016,2016,16,4,5,100
4/15/2016,2016,16,4,3,100
4/15/2016,2016,16,4,1,100
4/15/2016,2016,16,4,0,100
4/15/2016,2016,16,4,0,100
4/15/2016,2016,16,4,0,100
4/14/2016,2016,16,4,1,100
4/14/2016,2016,16,4,4,100
4/14/2016,2016,16,4,7,100
