Date,denguecases,AveUVIndex,MinUVIndex,MaxUVIndex,PSI,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,Max_Humidity_Percentage, Mean_Humidity_Percentage, Min_Humidity_Percentage,regionId
2/9/2016,451,NULL,NULL,NULL,57.95833333,0.022222222,0,0,0,26.9,29.12,25.56,8.12,25.55,83,79,68,4
2/10/2016,451,NULL,NULL,NULL,54.125,1.766666667,0.542857143,0.714285714,1,26.64,28.68,25.02,9.58,30.775,89,82,70,4
2/11/2016,468,NULL,NULL,NULL,32.125,0,0,0,0,27.46,30.6,25.32,8.42,23.85,94,84,65,4
2/12/2016,357,NULL,NULL,NULL,40.20833333,12.1,6.485714286,7.8,7.971428571,27.48,32.68,23.1,7.94,35.5,94,81,61,4
2/13/2016,314,NULL,NULL,NULL,46.95833333,0.7,0.5,0.675,0.775,28.25,32.41666667,25.25,8.15,31.28333333,94,81,57,4
2/14/2016,314,NULL,NULL,NULL,38.125,9.68,7.4,9.1,9.375,27.68333333,32.65,24.85,6.616666667,32.21666667,94,81,62,4
2/15/2016,314,NULL,NULL,NULL,49.58333333,3.66,2.65,3.15,4.55,28.53333333,33.11666667,25.16666667,10.31666667,35.05,94,79,57,4
2/16/2016,327,NULL,NULL,NULL,50.875,0,0,0,0,28.51666667,32.35,26.05,14.65,42.23333333,89,76,54,4
2/17/2016,264,NULL,NULL,NULL,53.95833333,0,0,0,0,28.03333333,32.08333333,25.21666667,11.86666667,35.86,79,69,48,4
2/18/2016,268,NULL,NULL,NULL,56.625,1.3,0.6,0.65,0.9,27.3,31.46666667,24.13333333,9.433333333,31.9,89,76,57,4
2/19/2016,272,NULL,NULL,NULL,42.625,79.47,17.2,25.25,34.5,25,27.61666667,23.63333333,6.25,27.52,100,93,79,4
2/20/2016,275,NULL,NULL,NULL,34,4.4,3.325,4.475,4.75,26.38333333,29.31666667,24.28333333,8.7,32.84,100,86,67,4
2/21/2016,275,NULL,NULL,NULL,51.5,0,0,0,0,27.4,31.85,24.06666667,10.56666667,35.9,89,78,61,4
2/22/2016,275,NULL,NULL,NULL,50.625,0.1,0.1,0.125,0.125,27.91666667,32.15,25.1,10.86666667,30.66,84,73,51,4
2/23/2016,294,NULL,NULL,NULL,49.5,0.12,0.15,0.15,0.15,27.93333333,31.95,25.28333333,10.15,33.85,89,78,59,4
2/24/2016,283,NULL,NULL,NULL,46.75,18.68,9.6,12.4,16.125,26.16666667,29.96666667,24.16666667,7.666666667,30.55,100,89,78,4
2/25/2016,299,NULL,NULL,NULL,40.91666667,0.29,0.3,0.3,0.3,27.73333333,31.66666667,24.9,13,45.64,94,77,55,4
2/26/2016,308,NULL,NULL,NULL,52.08333333,0,0,0,0,28.1,32.15,25.43333333,13.01666667,38.46666667,83,72,52,4
2/27/2016,310,NULL,NULL,NULL,49.875,0,0,0,0,28.21666667,32.56666667,24.71666667,12.05,35.95,94,77,56,4
2/28/2016,310,NULL,NULL,NULL,44.375,0.26,0.3,0.325,0.325,28.35,32.5,25.73333333,13.36666667,38.65,89,76,56,4
2/29/2016,310,NULL,NULL,NULL,46.95833333,0,0,0,0,28.58333333,32.43333333,26.33333333,14.28333333,41.15,84,75,55,4
3/1/2016,314,NULL,NULL,NULL,49.79166667,0,0,0,0,28.43333333,32.65,25.36666667,12.3,37.63333333,89,75,54,4
3/2/2016,267,NULL,NULL,NULL,48.91666667,0,0,0,0,28.36666667,32.4,25.96666667,12.96666667,40.15,89,77,59,4
3/3/2016,263,NULL,NULL,NULL,53.25,0.08,0.1,0.1,0.1,28.4,32.43333333,25.91666667,12.95,39.73333333,84,76,59,4
3/4/2016,274,NULL,NULL,NULL,51.375,1.06,0.975,1.05,1.075,28.25,31.8,26.08333333,10.56666667,33.42,89,77,57,4
3/5/2016,264,NULL,NULL,NULL,44.16666667,5.58,3,5.35,6.95,28.28333333,32.83333333,25.73333333,10.3,34.38333333,94,80,58,4
3/6/2016,264,NULL,NULL,NULL,45,0.14,0.1,0.1,0.1,28.85,33.05,26.6,11.08333333,31.98333333,89,77,53,4
3/7/2016,264,NULL,NULL,NULL,41.91666667,1.47,0.7,0.7,0.825,28.33333333,31.81666667,26.36666667,9.966666667,32.83333333,89,80,58,4
3/8/2016,280,NULL,NULL,NULL,52.66666667,11.77,6.925,8.35,8.8,27.6,31.8,25.65,6.6,27.71666667,89,81,65,4
3/9/2016,279,NULL,NULL,NULL,49.58333333,0.04,0.025,0.025,0.025,29.13333333,33.78333333,26.16666667,9.016666667,28.03333333,89,77,53,4
3/10/2016,285,NULL,NULL,NULL,48.625,5.85,1.925,2.625,3.2,28.2,33.7,25.85,7.266666667,27.6,89,78,53,4
