Year,Month,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,LocationId
2016,5,8.638709677,5.825806452,7.109677419,7.722580645,NULL,NULL,NULL,NULL,NULL,13
2016,6,7.786666667,4.84,6.24,6.946666667,NULL,NULL,NULL,NULL,NULL,13
2016,7,8.380645161,5.690322581,6.941935484,7.741935484,NULL,NULL,NULL,NULL,NULL,13
2016,8,3.658064516,2.335483871,3.187096774,3.477419355,NULL,NULL,NULL,NULL,NULL,13
2016,1,3.748387097,2.4,2.787096774,3.187096774,28.46129032,31.56129032,26.41290323,9.2,33.33846154,14
2016,2,6.324137931,2.565517241,3.006896552,3.593103448,28.01034483,31.04482759,26.00689655,11.92068966,38.03448276,14
2016,3,1.787096774,1.541935484,1.703225806,1.729032258,29.01612903,32.66774194,26.91612903,10.73548387,34.52580645,14
2016,4,3.606666667,1.92,2.28,3.02,29.74333333,33.68333333,27.18,6.453333333,28.87333333,14
2016,5,6.464516129,5.264516129,5.767741935,6.264516129,29.78387097,33.62580645,26.99354839,5.367741935,29.36774194,14
2016,6,4.953333333,2.933333333,3.88,4.38,29.15333333,32.35666667,26.82,5.503333333,29.60666667,14
2016,7,6.761290323,4.329032258,4.961290323,5.361290323,28.9483871,32.13870968,25.99032258,5.558064516,31.71935484,14
2016,8,5.574193548,4.15483871,4.896774194,5.238709677,29.52903226,32.58064516,26.71612903,7.061290323,34.92258065,14
2016,1,7.251612903,4.483870968,5.212903226,5.806451613,27.29032258,31.63870968,24.9516129,6.770967742,32.20322581,15
2016,2,6.668965517,2.868965517,3.786206897,4.517241379,27.11724138,31.1137931,24.65172414,8.575862069,33.54482759,15
2016,3,3.522580645,2.212903226,2.567741935,2.935483871,28.21935484,33.09677419,25.54193548,7.625806452,33.19032258,15
2016,4,7.506666667,4.833333333,6.38,7.18,28.66,33.35,25.66666667,6.42,30.95,15
2016,5,11.18064516,6.903225806,8.516129032,9.722580645,28.52903226,33.03548387,25.33225806,6.370967742,33.10322581,15
2016,6,11.02,5.393333333,6.846666667,8.62,27.91666667,31.03666667,25.28,6.486666667,31.00333333,15
2016,7,10.4,6.187096774,7.896774194,9.012903226,27.85483871,31.03225806,24.87096774,6.832258065,34.22258065,15
2016,8,2.761290323,1.567741935,2.135483871,2.529032258,28.57096774,31.52258065,25.78709677,7.880645161,33.52258065,15
2016,1,5.625806452,3.193548387,3.838709677,4.161290323,NULL,NULL,NULL,NULL,NULL,16
2016,2,6.848275862,2.751724138,3.6,4.255172414,NULL,NULL,NULL,NULL,NULL,16
2016,3,3.64516129,1.864516129,2.458064516,3.070967742,NULL,NULL,NULL,NULL,NULL,16
2016,4,5.153333333,3.92,4.226666667,5.006666667,NULL,NULL,NULL,NULL,NULL,16
2016,5,6.703225806,3.825806452,5.348387097,6.419354839,NULL,NULL,NULL,NULL,NULL,16
2016,6,7.12,3.84,5.6,6.14,NULL,NULL,NULL,NULL,NULL,16
2016,7,5.95483871,3.812903226,4.516129032,4.980645161,NULL,NULL,NULL,NULL,NULL,16
2016,8,3.793548387,2.55483871,3.406451613,3.638709677,NULL,NULL,NULL,NULL,NULL,16
2016,1,7.574193548,4.935483871,5.832258065,6.309677419,27.55806452,31.5516129,25.2516129,6.296774194,29.7516129,18
2016,2,5.889655172,2.44137931,3.089655172,3.786206897,27.27241379,30.96551724,24.93448276,7.517241379,34.92413793,18
2016,3,2.451612903,1.541935484,1.84516129,2.109677419,28.34193548,32.88387097,25.80322581,7.148387097,30.81935484,18
2016,4,6.793333333,5.093333333,5.966666667,6.573333333,28.83,33.48666667,25.88333333,5.513333333,27.65,18
2016,5,5.316129032,3.077419355,3.95483871,4.64516129,28.89677419,33.40967742,25.97741935,4.458064516,25.92258065,18
2016,6,6.893333333,4.213333333,5.16,5.666666667,28.13666667,31.66666667,25.36,4.906666667,25.10333333,18
2016,7,8.890322581,5.55483871,7.025806452,7.729032258,27.96774194,31.72258065,25.0483871,5.838709677,25.1483871,18
2016,1,8.181818182,5.163636364,6.1,6.518181818,28.28,31.78,25.825,7.040909091,30.86818182,21
2016,2,94.6,13,23.4,35.6,NULL,27.8,23.3,6.1,40.3,21
2016,3,2.251612903,1.225806452,1.761290323,2.109677419,29.00689655,32.65172414,26.82068966,7.809677419,31.82903226,21
2016,4,3.693333333,3.126666667,3.606666667,3.666666667,29.27619048,32.71785714,26.86428571,7.34,30.26666667,21
2016,5,5.593548387,3.677419355,4.438709677,4.909677419,29.29032258,32.6483871,26.63225806,6.903225806,30.28387097,21
2016,6,8.433333333,3.32,4.84,6.853333333,28.59,31.44,26.13,6.63,29.10333333,21
2016,7,7.096774194,4.406451613,5.535483871,6.083870968,28.3483871,31.32580645,25.78064516,6.090322581,28.59677419,21
2016,8,3.6,2.329032258,3.006451613,3.425806452,28.79032258,31.59032258,26.46774194,7.774193548,33.1483871,21
2016,1,7.55483871,5.025806452,5.909677419,6.322580645,NULL,NULL,NULL,NULL,NULL,27
2016,2,7.331034483,3.15862069,3.820689655,4.627586207,NULL,NULL,NULL,NULL,NULL,27
2016,3,4.309677419,2.44516129,2.787096774,3.470967742,NULL,NULL,NULL,NULL,NULL,27
2016,4,7.233333333,5.3,6.713333333,7.153333333,NULL,NULL,NULL,NULL,NULL,27
2016,5,6.658064516,4.703225806,5.651612903,6.038709677,NULL,NULL,NULL,NULL,NULL,27
2016,6,7.653333333,4.346666667,5.58,6.693333333,NULL,NULL,NULL,NULL,NULL,27
2016,7,6.129032258,3.212903226,4.012903226,4.851612903,NULL,NULL,NULL,NULL,NULL,27
2016,8,3.24516129,2.303225806,2.761290323,3.04516129,NULL,NULL,NULL,NULL,NULL,27
2016,1,3.664516129,2.677419355,3.193548387,3.393548387,NULL,NULL,NULL,NULL,NULL,28
2016,2,5.875862069,2.524137931,2.868965517,3.379310345,NULL,NULL,NULL,NULL,NULL,28
