year,WW,AveUVIndex,MinUVIndex,MaxUVIndex,RegionId
2016,3,3,0,8,0
2016,4,3,0,7,0
2016,5,3,0,7,0
2016,6,2,0,6,0
2016,7,2,0,6,0
2016,8,3,0,7,0
