WW,denguecases,AveUVIndex,MinUVIndex,MaxUVIndex,PSI,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,Max_Humidity_Percentage, Mean_Humidity_Percentage, Min_Humidity_Percentage,regionId
1,404,NULL,NULL,NULL,44.85416667,12.73076923,5.823076923,7.515384615,10.08461538,25.85,28.18,24.08,8,38.72,100,87,73,3
2,416,NULL,NULL,NULL,39.83928571,2.231578947,1.631578947,1.963157895,2.057894737,27.70714286,31.33571429,25.55,6.892857143,33.01428571,93.57142857,81,60.14285714,3
3,514,NULL,NULL,NULL,41.29166667,7.257142857,4.761904762,5.695238095,6.476190476,28.00714286,32.10714286,25.78571429,5.692857143,28.12857143,90.42857143,79.14285714,58,3
4,612,NULL,NULL,NULL,50.29761905,9.29047619,6.904761905,7.604761905,7.928571429,27.52857143,31.77857143,25.27857143,5.45,32.75714286,93,79.57142857,59.28571429,3
5,672,NULL,NULL,NULL,49.3452381,5.271428571,3.166666667,3.838095238,4.323809524,27.74285714,31.6,25.49285714,6.85,34.42857143,89.71428571,78,58.28571429,3
6,597,NULL,NULL,NULL,44.22023809,5.104761905,3.085714286,3.614285714,4.152380952,27.71428571,31.88571429,25.31428571,6.385714286,32.92142857,92,78,56.71428571,3
7,526,NULL,NULL,NULL,48.66071429,5.142857143,3.661904762,4.09047619,4.3,26.79285714,29.61428571,24.62142857,7.471428571,35.85,91,80.85714286,65,3
8,201,NULL,NULL,NULL,48.71428571,15.52380952,4.685714286,6.304761905,8,27.07142857,30.39285714,25.01428571,7.014285714,35.72857143,92.14285714,80,60.57142857,3
9,226,NULL,NULL,NULL,54.13690476,1.252380952,0.433333333,0.623809524,0.919047619,27.31428571,31.18571429,24.78571429,8.035714286,39.63571429,90.42857143,77.71428571,58.85714286,3
10,189,NULL,NULL,NULL,51.78571429,0.99047619,0.757142857,0.838095238,0.961904762,27.92142857,31.64285714,25.79285714,8.807142857,40.71428571,88.28571429,76.57142857,56.85714286,3
11,172,NULL,NULL,NULL,47.80952381,6.395238095,3.342857143,4.714285714,5.571428571,28.19285714,32.52857143,25.72857143,6.757142857,30.03571429,89.71428571,77.71428571,55,3
12,248,NULL,NULL,NULL,54.08333333,3.285714286,1.480952381,2.042857143,3.023809524,28.27857143,33.25714286,25.64285714,6.721428571,30.77142857,89,74,49.85714286,3
13,228,3,0,7,59.39880952,2.857142857,2.352380952,2.79047619,2.80952381,28.55714286,32.56428571,26.37857143,6.278571429,28.88571429,89,75.14285714,51.28571429,3
