Date,denguecases,AveUVIndex,MinUVIndex,MaxUVIndex,PSI,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,Max_Humidity_Percentage, Mean_Humidity_Percentage, Min_Humidity_Percentage,regionId
1/1/2016,114,NULL,NULL,NULL,33.95833333,3.95,1.95,2.316666667,2.65,26.9,29.1,25.35,16.2,47.15,100,84,64,1
1/2/2016,114,NULL,NULL,NULL,43.95833333,21.83333333,9.516666667,13.08333333,16.06666667,26.3,27.95,23.4,13.5,49.15,100,90,82,1
1/3/2016,114,NULL,NULL,NULL,42.83333333,2.916666667,1.133333333,1.5,1.733333333,26.9,27.55,25.55,13.15,33.1,100,92,83,1
1/4/2016,114,NULL,NULL,NULL,35.29166667,3.133333333,2.65,2.716666667,3.183333333,27.3,31,25.85,13.5,44.65,100,83,62,1
1/5/2016,112,NULL,NULL,NULL,38.16666667,0,0,0,0,28,31.35,26.65,13.5,34.75,94,82,55,1
1/6/2016,121,NULL,NULL,NULL,35.45833333,0.433333333,0.44,0.44,0.44,28.2,31.1,26.7,15.3,40.85,89,80,62,1
1/7/2016,126,NULL,NULL,NULL,37.41666667,0,0,0,0,28.4,31.8,26.35,16.95,41.4,89,76,57,1
1/8/2016,128,NULL,NULL,NULL,33.70833333,0.133333333,0.1,0.1,0.1,27.9,31.6,26.35,15.45,39.95,89,76,48,1
1/9/2016,95,NULL,NULL,NULL,36.25,2.6,1.833333333,2.566666667,2.566666667,28.4,32.1,26.35,16.4,42.65,94,78,54,1
1/10/2016,95,NULL,NULL,NULL,40.25,0,0,0,0,28.3,32.05,26.5,13.5,37.1,89,78,57,1
1/11/2016,95,NULL,NULL,NULL,37.20833333,7.666666667,5.466666667,6.266666667,6.566666667,28.1,32.3,26.1,13.5,42.85,89,78,58,1
1/12/2016,104,NULL,NULL,NULL,38.70833333,0.033333333,0.033333333,0.033333333,0.033333333,28.7,32.05,27.1,15.45,37.25,89,76,54,1
1/13/2016,131,NULL,NULL,NULL,38,0.766666667,0.733333333,0.733333333,0.766666667,28.6,32,27,15.3,39.95,89,77,58,1
1/14/2016,133,NULL,NULL,NULL,44.29166667,4.5,3.666666667,4.233333333,4.5,28.4,31.95,26.9,14.05,42.85,94,79,63,1
1/15/2016,134,NULL,NULL,NULL,40.66666667,11.48333333,8.816666667,10.35,11.48333333,27.8,31.5,26.35,12.75,43.75,89,82,62,1
1/16/2016,140,NULL,NULL,NULL,53.33333333,8.283333333,4.916666667,7.366666667,8.2,28.3,31.7,26.45,10.25,34.2,94,84,54,1
1/17/2016,140,NULL,NULL,NULL,52.625,5.8,5.216666667,5.516666667,5.916666667,28.4,31.3,26.25,10.4,36.2,100,86,67,1
1/18/2016,140,NULL,NULL,NULL,52.58333333,12.53333333,7.933333333,10.33333333,11.06666667,28.4,32.7,25.1,11.35,46.25,94,81,59,1
1/19/2016,144,NULL,NULL,NULL,51.33333333,3.3,3.083333333,3.183333333,3.183333333,28.4,31.2,26.25,12.95,55.1,91,79,61,1
1/20/2016,149,NULL,NULL,NULL,51.41666667,2.516666667,2.1,2.266666667,2.266666667,27.8,30.8,26.3,17.1,38.5,94,78,56,1
1/21/2016,161,NULL,NULL,NULL,39.58333333,0.366666667,0.283333333,0.316666667,0.316666667,28.6,31.25,27.05,13.5,31.5,89,77,55,1
1/22/2016,182,NULL,NULL,NULL,50.54166667,22.5,13.56666667,16.66666667,17.46666667,28.1,31.15,25.8,12.95,43.05,94,79,64,1
1/23/2016,182,NULL,NULL,NULL,34.83333333,8.633333333,7.35,8.2,8.233333333,27.8,32.1,24.45,15.85,47.55,89,77,53,1
1/24/2016,182,NULL,NULL,NULL,35.125,0.316666667,0.266666667,0.3,0.3,28.6,32.3,26.8,21.25,52,89,77,57,1
1/25/2016,182,NULL,NULL,NULL,38.66666667,4.65,3.066666667,3.166666667,3.333333333,28.3,31.6,25.6,20.35,66.4,84,76,59,1
1/26/2016,182,NULL,NULL,NULL,36.33333333,6.516666667,3.266666667,3.6,4.25,27.8,29.55,25.7,15.45,59.4,89,81,66,1
1/27/2016,192,NULL,NULL,NULL,36.41666667,0,0,0,0,28.4,31.75,26.2,15.85,41.6,94,79,59,1
1/28/2016,208,NULL,NULL,NULL,38.16666667,6.433333333,4.9,5.8,6.166666667,28,32.7,25.7,14.05,49.5,89,77,55,1
1/29/2016,215,NULL,NULL,NULL,48.75,8.733333333,6.2,6.833333333,7.016666667,27.4,31.75,25.45,14.95,42.85,94,79,60,1
1/30/2016,223,NULL,NULL,NULL,39.83333333,0,0,0,0,28.2,32.3,26.9,16.7,44.45,89,77,52,1
