Date,denguecases,AveUVIndex,MinUVIndex,MaxUVIndex,PSI,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,Max_Humidity_Percentage, Mean_Humidity_Percentage, Min_Humidity_Percentage,regionId
1/1/2016,20,NULL,NULL,NULL,25.625,8.258333333,4.7,4.972727273,6.427272727,26.53333333,28.54285714,24.91428571,8.8,33.68571429,100,84,64,5
1/2/2016,20,NULL,NULL,NULL,32.625,19.5,9.24,12.18,14.6,25.83333333,27.96666667,23.33333333,6.716666667,41.71666667,100,90,82,5
1/3/2016,20,NULL,NULL,NULL,38.5,2.009090909,0.9,1.2,1.36,26.35,27.66666667,25.18333333,7.15,27.65,100,92,83,5
1/4/2016,20,NULL,NULL,NULL,36.66666667,5.636363636,3.8,4.8,5.9,27.51666667,31.8,25.13333333,8.033333333,33.23333333,100,83,62,5
1/5/2016,19,NULL,NULL,NULL,34.08333333,0.327272727,0.34,0.34,0.34,28.65,32.63333333,26.03333333,8.65,32.45,94,82,55,5
1/6/2016,33,NULL,NULL,NULL,35.41666667,2.090909091,1.1,1.12,1.22,28.58333333,32.25,26.45,8.14,35.86,89,80,62,5
1/7/2016,39,NULL,NULL,NULL,45,0.018181818,0.02,0.02,0.02,28.85,32.76666667,26.11666667,9.8,30.82,89,76,57,5
1/8/2016,43,NULL,NULL,NULL,40.16666667,0,0,0,0,28.73333333,33.13333333,25.85,9.72,35.1,89,76,48,5
1/9/2016,47,NULL,NULL,NULL,35.29166667,0.181818182,0.18,0.18,0.2,28.93333333,33.36666667,26.06666667,10.38,34.92,94,78,54,5
1/10/2016,47,NULL,NULL,NULL,40,0.127272727,0.14,0.14,0.14,28.76666667,32.73333333,26.33333333,8.14,32.54,89,78,57,5
1/11/2016,47,NULL,NULL,NULL,44,13.74545455,8.14,9.42,9.76,28.11666667,32.73333333,25.73333333,7.633333333,30.25,89,78,58,5
1/12/2016,53,NULL,NULL,NULL,48.91666667,0,0,0,0,28.98333333,33.01666667,26.51666667,9.616666667,31.75,89,76,54,5
1/13/2016,59,NULL,NULL,NULL,46.25,0.763636364,0.44,0.84,0.84,28.75,32.98333333,26.45,9,33.2,89,77,58,5
1/14/2016,54,NULL,NULL,NULL,48.29166667,8.445454545,5.5,6.4,6.8,28.16666667,32.15,25.48333333,7.416666667,32.58333333,94,79,63,5
1/15/2016,60,NULL,NULL,NULL,45.16666667,12.86363636,9.06,10.3,10.94,27.38333333,30.91666667,25.23333333,5.633333333,32.63333333,89,82,62,5
1/16/2016,57,NULL,NULL,NULL,46.91666667,2.372727273,1.56,2.04,2.5,27.83333333,31.55,25.71666667,5.166666667,22.61666667,94,84,54,5
1/17/2016,57,NULL,NULL,NULL,56.45833333,8.97,7.8,8.311111111,8.355555556,27.68333333,31.98333333,25.08333333,6.233333333,37.86666667,100,86,67,5
1/18/2016,57,NULL,NULL,NULL,48.66666667,14.78,9.2,11.08888889,11.95555556,27.95,32.7,24.93333333,6.433333333,30.16666667,94,81,59,5
1/19/2016,63,NULL,NULL,NULL,54.41666667,4.26,4.088888889,4.111111111,4.4,28.05,31.4,26.01666667,6.85,31.9,91,79,61,5
1/20/2016,79,NULL,NULL,NULL,51.75,4.118181818,3.2,3.3,3.4,27.85,30.7,25.35,7.133333333,27.18333333,94,78,56,5
1/21/2016,86,NULL,NULL,NULL,42.95833333,0.36,0.333333333,0.377777778,0.377777778,28.24,31.52,26.36,8.2,29.88,89,77,55,5
1/22/2016,75,NULL,NULL,NULL,50.91666667,20.81818182,14.3,17.54,18.52,27.92,32.08,25.56,7.15,32.58333333,94,79,64,5
1/23/2016,85,NULL,NULL,NULL,38.66666667,11.52,9.844444444,10.48888889,10.48888889,27.84,33.1,24.26,9.66,47.88,89,77,53,5
1/24/2016,85,NULL,NULL,NULL,40.25,0.6,0.644444444,0.644444444,0.666666667,28.74,33.02,26.24,13.24,45,89,77,57,5
1/25/2016,85,NULL,NULL,NULL,37.5,6.454545455,3.84,4.42,4.54,27.52,31.28,25.34,10.26666667,44.93333333,84,76,59,5
1/26/2016,92,NULL,NULL,NULL,37.54166667,3.77,1.933333333,1.955555556,2.444444444,27.46,29.7,25.58,8.92,37.24,89,81,66,5
1/27/2016,101,NULL,NULL,NULL,48.33333333,0.24,0.222222222,0.222222222,0.244444444,28.62,32.2,26,9.6,31.32,94,79,59,5
1/28/2016,93,NULL,NULL,NULL,47.95833333,16.97,7.533333333,8.911111111,9.488888889,27.84,32.4,24.9,8.58,34.9,89,77,55,5
1/29/2016,94,NULL,NULL,NULL,47.25,14.09,7.844444444,9.711111111,11.33333333,27.24,32.2,24.44,7.7,37.36,94,79,60,5
1/30/2016,97,NULL,NULL,NULL,36.75,0.1,0.111111111,0.111111111,0.111111111,28.54,33.3,25.92,9.14,28.78,89,77,52,5
1/31/2016,97,NULL,NULL,NULL,37.375,11.43,8.688888889,8.933333333,11.11111111,27.84,32.66,25.06,8.44,31.3,84,75,53,5
2/1/2016,97,NULL,NULL,NULL,30.375,0,0,0,0,28.8,33.34,25.8,12.18,39.08,94,74,54,5
2/2/2016,85,NULL,NULL,NULL,30.58333333,3.76,2.688888889,2.955555556,3.266666667,27.76,31.74,24.9,9.88,41.38,100,79,54,5
2/3/2016,94,NULL,NULL,NULL,38.66666667,0,0,0,0,28.46,32.78,25.6,8.6,29.08,89,77,51,5
2/4/2016,93,NULL,NULL,NULL,46.75,10.08,6.377777778,7,8.288888889,27.62,30.92,25.5,7.06,30.72,89,79,64,5
2/5/2016,89,NULL,NULL,NULL,48.125,6.611111111,4.025,5.325,6.3,27.6,31.925,25.65,6.65,24.225,94,81,61,5
