WW,denguecases,AveUVIndex,MinUVIndex,MaxUVIndex,PSI,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,Max_Humidity_Percentage, Mean_Humidity_Percentage, Min_Humidity_Percentage,regionId
1,234,NULL,NULL,NULL,35.20833334,11.65238095,5.5,7.276470588,8.441176471,26.25,28.68461538,24.19230769,8.307692308,35.86153846,100,87,73,4
2,302,NULL,NULL,NULL,41.33333333,1.5,1.114285714,1.346428571,1.539285714,27.98095238,31.79285714,25.38095238,9.607142857,33.18571429,93.57142857,81,60.14285714,4
3,386,NULL,NULL,NULL,46.27380952,5.212857143,3.810714286,4.510714286,4.835714286,28.19761905,32.55952381,25.73571429,7.995238095,29.585,90.42857143,79.14285714,58,4
4,438,NULL,NULL,NULL,49.05952381,6.427536232,4.516363636,5.130909091,5.770909091,27.80952381,32.08571429,25.26666667,7.221428571,30.0902439,93,79.57142857,59.28571429,4
5,515,NULL,NULL,NULL,45.20833333,3.814492754,2.687272727,3,3.323636364,28.05952381,32.18333333,25.40714286,9.804761905,35.9804878,89.71428571,78,58.28571429,4
6,451,NULL,NULL,NULL,41.26190476,4.111428571,2.703571429,3.085714286,3.342857143,28.1047619,32.2047619,25.43333333,9.24047619,31.9452381,92,78,56.71428571,4
7,314,NULL,NULL,NULL,47.80357143,5.524615385,2.647058824,3.266666667,3.545098039,27.29189189,30.24594595,24.94054054,10.08648649,33.24242424,91,80.85714286,65,4
8,275,NULL,NULL,NULL,46.54166667,14.07285714,4.453571429,6.089285714,7.725,27.35,31.22857143,24.76190476,9.69047619,34.14736842,92.14285714,80,60.57142857,4
9,310,NULL,NULL,NULL,48.75,2.741428571,1.45,1.853571429,2.385714286,27.63809524,31.75714286,24.80952381,11.0452381,35.74102564,90.42857143,77.71428571,58.85714286,4
10,264,NULL,NULL,NULL,48.40476191,0.997142857,0.625,0.975,1.207142857,28.38095238,32.43571429,25.87619048,12.39047619,37.98292683,88.28571429,76.57142857,56.85714286,4
11,250,NULL,NULL,NULL,48.73809524,2.755714286,1.385714286,1.689285714,1.853571429,28.57619048,32.98333333,26.05952381,9.121428571,30.22142857,89.71428571,77.71428571,55,4
12,232,NULL,NULL,NULL,55.58928571,1.181428571,0.907142857,1.039285714,1.117857143,28.6902439,33.63571429,25.48571429,8.661904762,29.3,89,74,49.85714286,4
13,224,3,0,7,60.98809524,3.958571429,2.739285714,3.203571429,3.228571429,28.71904762,33.23095238,25.76428571,7.888095238,29.2047619,89,75.14285714,51.28571429,4
14,183,4,0,9,68.44642857,0.12,0.135714286,0.142857143,0.15,29.32619048,33.77619048,26.27857143,11.37619048,34.04761905,84.71428571,70.14285714,45,4
15,175,2,0,7,56.9702381,4.687142857,2.917857143,3.425,4.375,28.94047619,33.88809524,25.71904762,6.74047619,26.91707317,91.14285714,76.28571429,53.42857143,4
16,198,3,0,7,62.21428571,3.352857143,2.775,3.482142857,3.660714286,29.32926829,34.02380952,26.33333333,7.135714286,29.38095238,89.71428571,75.85714286,51.71428571,4
17,201,3,0,8,57.50595238,5.252857143,4.403571429,5.164285714,5.4,29.56904762,34.43095238,26.25714286,7.50952381,30.76428571,88.28571429,73.57142857,50.57142857,4
18,233,2,0,6,59.40476191,8.02,5.739285714,6.692857143,6.975,28.28684211,33.47380952,25.55952381,5.585714286,28.22380952,94.85714286,79.28571429,56.57142857,4
19,196,3,0,8,54.27380952,3.11,2.589285714,3.2,3.55,29.1,34.34761905,25.78571429,6.40952381,32.18571429,89,74.85714286,51,4
20,141,3,0,7,51.86309524,8.587142857,4.760714286,6.128571429,7.110714286,28.76666667,33.6547619,25.76190476,5.961904762,31.4225,90.42857143,77.28571429,53.85714286,4
21,80,2,0,6,56.04761905,10.08571429,7.483928571,8.444642857,9.219642857,28.45,33.17380952,25.60238095,6.438095238,31.19047619,95.85714286,80.71428571,58.71428571,4
22,70,3,0,6,39.35119048,8.788571429,4.603571429,5.982142857,6.869642857,29.09756098,33.41666667,25.61428571,7.052380952,32.5452381,92.71428571,77.28571429,59.14285714,4
23,68,2,0,5,54.16071428,5.374242424,2.523076923,3.103846154,3.353846154,28.01052632,32.14285714,25.26190476,5.897619048,31.58333333,91.14285714,78.42857143,57.71428571,4
24,86,2,0,6,57.14880953,8.185714286,4.436734694,5.514285714,6.204081633,28.08055556,32.59047619,25.32142857,6.197619048,31.99761905,91.85714286,78.85714286,56.71428571,4
25,79,3,0,6,41.3452381,15.95079365,7.53877551,10.16326531,11.46530612,27.31111111,31.40952381,24.88095238,6.464285714,29.06428571,93.42857143,80.28571429,61.42857143,4
26,93,2,0,5,50.60119047,6.971428571,3.330612245,4.836734694,6.346938776,27.8475,31.75714286,24.93095238,6.176190476,28.38809524,92,76.57142857,57,4
27,67,3,0,6,47.92857143,0.134920635,0.073469388,0.089795918,0.106122449,29.57027027,33.41190476,26.72380952,6.892857143,25.70487805,86.85714286,73,53.57142857,4
28,95,3,0,7,47.08928571,5.004761905,3.820408163,5.363265306,5.889795918,29.44571429,33.41428571,26.07619048,7.5,32.65714286,86.14285714,72.71428571,51.71428571,4
29,122,2,0,5,45.38690476,10.9030303,7.038461538,9.242307692,10.78461538,27.84146341,31.99761905,24.87380952,6.442857143,35.42857143,89.71428571,77.71428571,58.42857143,4
30,130,2,0,6,50.94642857,12.76571429,7.15,8.878571429,9.714285714,27.07948718,31.4547619,23.97380952,6.397619048,33.09268293,96.85714286,82.57142857,61.28571429,4
31,139,3,0,6,49.02380953,7.2515625,4.952,5.924,6.22,27.44444444,31.12222222,24.5,5.441666667,29.525,90.42857143,76.85714286,59.14285714,4
32,162,3,0,7,52.47023809,4.630188679,4.605128205,5.307692308,5.605128205,28.425,32.43548387,25.32580645,7.793548387,33.13333333,88.42857143,75.42857143,54.57142857,4
33,163,3,0,7,56.83333333,1.101785714,0.876190476,0.89047619,0.89047619,29,32.96857143,26.06857143,6.925714286,28.42857143,86.85714286,73.28571429,53.85714286,4
34,95,3,0,8,44.57142857,5.130357143,3.89047619,4.576190476,4.7,29.26666667,33.34,25.38285714,8.78,34.40857143,86.85714286,72.57142857,52.85714286,4
35,74,2,0,6,57.23809524,8.058490566,4.564102564,6.430769231,7.297435897,28.821875,32.55625,25.634375,7.757575758,34.06206897,92.28571429,73.85714286,51.57142857,4
36,NULL,2,0,5,65.73611111,1.682142857,1.23,1.43,1.45,28.35263158,32.23,25.46,6.805,29.525,92.57142857,77,56.42857143,4
