Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Chai Chee,2016,6,1,2.6,0.8,1.2,2,—,—,—,—,—
Chai Chee,2016,6,2,0,0,0,0,—,—,—,—,—
Chai Chee,2016,6,3,0,0,0,0,—,—,—,—,—
Chai Chee,2016,6,4,1.8,0.6,0.8,0.8,—,—,—,—,—
Chai Chee,2016,6,5,0,0,0,0,—,—,—,—,—
Chai Chee,2016,6,6,0,0,0,0,—,—,—,—,—
Chai Chee,2016,6,7,4.2,3,3.8,4.2,—,—,—,—,—
Chai Chee,2016,6,8,1.4,0.6,1,1.4,—,—,—,—,—
Chai Chee,2016,6,9,0,0,0,0,—,—,—,—,—
Chai Chee,2016,6,10,3.8,3.8,3.8,3.8,—,—,—,—,—
Chai Chee,2016,6,11,4.4,1.6,3,4,—,—,—,—,—
Chai Chee,2016,6,12,0,0,0,0,—,—,—,—,—
Chai Chee,2016,6,13,0,0,0,0,—,—,—,—,—
Chai Chee,2016,6,14,0.2,0.2,0.2,0.2,—,—,—,—,—
Chai Chee,2016,6,15,30,17.8,27.2,30,—,—,—,—,—
Chai Chee,2016,6,16,4.2,3.4,4,4,—,—,—,—,—
Chai Chee,2016,6,17,8.4,3.4,3.8,5.2,—,—,—,—,—
Chai Chee,2016,6,18,0.2,0.2,0.2,0.2,—,—,—,—,—
Chai Chee,2016,6,19,0,0,0,0,—,—,—,—,—
Chai Chee,2016,6,20,0,0,0,0,—,—,—,—,—
Chai Chee,2016,6,21,0,0,0,0,—,—,—,—,—
Chai Chee,2016,6,22,3.2,1.6,1.6,1.6,—,—,—,—,—
Chai Chee,2016,6,23,0,0,0,0,—,—,—,—,—
Chai Chee,2016,6,24,34.2,13.6,16.8,21,—,—,—,—,—
Chai Chee,2016,6,25,0,0,0,0,—,—,—,—,—
Chai Chee,2016,6,26,0.6,0.6,0.6,0.6,—,—,—,—,—
Chai Chee,2016,6,27,0,0,0,0,—,—,—,—,—
Chai Chee,2016,6,28,0,0,0,0,—,—,—,—,—
Chai Chee,2016,6,29,0,0,0,0,—,—,—,—,—
Chai Chee,2016,6,30,0,0,0,0,—,—,—,—,—
