Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Upper Thomson,2014,10,1,0,0,0,0,—,—,—,—,—
Upper Thomson,2014,10,2,0,0,0,0,—,—,—,—,—
Upper Thomson,2014,10,3,0,0,0,0,—,—,—,—,—
Upper Thomson,2014,10,4,23.6,12.2,21.4,23.6,—,—,—,—,—
Upper Thomson,2014,10,5,0,0,0,0,—,—,—,—,—
Upper Thomson,2014,10,6,0,0,0,0,—,—,—,—,—
Upper Thomson,2014,10,7,0,0,0,0,—,—,—,—,—
Upper Thomson,2014,10,8,0,0,0,0,—,—,—,—,—
Upper Thomson,2014,10,9,0,0,0,0,—,—,—,—,—
Upper Thomson,2014,10,10,0,0,0,0,—,—,—,—,—
Upper Thomson,2014,10,11,0,0,0,0,—,—,—,—,—
Upper Thomson,2014,10,12,4.4,4.2,4.4,4.4,—,—,—,—,—
Upper Thomson,2014,10,13,0,0,0,0,—,—,—,—,—
Upper Thomson,2014,10,14,71.4,48.8,70.2,71.4,—,—,—,—,—
Upper Thomson,2014,10,15,0.4,0.4,0.4,0.4,—,—,—,—,—
Upper Thomson,2014,10,16,3.4,2.2,2.2,2.4,—,—,—,—,—
Upper Thomson,2014,10,17,5,3,3,3,—,—,—,—,—
Upper Thomson,2014,10,18,11.2,4,7.2,7.6,—,—,—,—,—
Upper Thomson,2014,10,19,0,0,0,0,—,—,—,—,—
Upper Thomson,2014,10,20,0,0,0,0,—,—,—,—,—
Upper Thomson,2014,10,21,27.2,15.4,21.2,26.4,—,—,—,—,—
Upper Thomson,2014,10,22,4.6,1.8,3,4.2,—,—,—,—,—
Upper Thomson,2014,10,23,0,0,0,0,—,—,—,—,—
Upper Thomson,2014,10,24,0,0,0,0,—,—,—,—,—
Upper Thomson,2014,10,25,0,0,0,0,—,—,—,—,—
Upper Thomson,2014,10,26,0,0,0,0,—,—,—,—,—
Upper Thomson,2014,10,27,0.4,0.2,0.4,0.4,—,—,—,—,—
Upper Thomson,2014,10,28,17.4,15.4,17.4,17.4,—,—,—,—,—
Upper Thomson,2014,10,29,1.4,0.8,0.8,0.8,—,—,—,—,—
Upper Thomson,2014,10,30,0.8,0.6,0.6,0.6,—,—,—,—,—
Upper Thomson,2014,10,31,3.2,2.4,2.6,2.6,—,—,—,—,—
