
SGT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,31,27,22,25,24,23,100,86,61,1011,1009,1007,18,10,7,16,6,,0.25,6,,8<br />
2013-1-2,30,27,23,26,24,23,100,85,71,1011,1010,1007,19,9,3,13,6,,7.11,6,Rain-Thunderstorm,334<br />
2013-1-3,32,27,23,26,24,24,100,88,57,1012,1010,1008,19,10,5,16,5,,4.06,5,Rain-Thunderstorm,11<br />
2013-1-4,30,27,24,25,24,24,94,84,65,1011,1009,1006,18,11,10,16,8,,0.76,6,Rain,13<br />
2013-1-5,32,28,25,25,24,23,94,82,66,1011,1008,1006,18,11,10,13,6,,0.00,5,,7<br />
2013-1-6,32,29,25,26,24,23,94,81,57,1010,1008,1006,18,10,8,16,6,,0.00,6,Thunderstorm,25<br />
2013-1-7,35,30,25,25,23,20,94,74,37,1011,1008,1006,16,10,8,16,6,35,0.00,6,,323<br />
2013-1-8,32,28,23,25,24,22,94,84,48,1011,1009,1007,16,10,2,14,6,32,20.07,6,Rain-Thunderstorm,327<br />
2013-1-9,32,27,21,25,24,22,100,87,59,1012,1009,1008,16,9,1,23,6,55,42.93,6,Rain-Thunderstorm,332<br />
2013-1-10,30,26,22,24,24,23,94,83,70,1012,1010,1008,16,10,7,11,6,,0.00,6,Rain,355<br />
2013-1-11,31,28,25,25,24,23,89,79,57,1012,1010,1009,16,10,10,23,10,,0.00,5,Rain,18<br />
2013-1-12,31,28,25,25,24,23,89,79,60,1013,1011,1009,19,10,8,19,10,,0.76,6,Rain-Thunderstorm,14<br />
2013-1-13,30,27,24,25,24,23,100,89,70,1012,1010,1009,11,9,2,14,6,,0.00,5,Rain-Thunderstorm,9<br />
2013-1-14,31,27,23,25,24,23,91,82,66,1012,1010,1008,14,10,8,23,10,,0.00,6,Rain,20<br />
2013-1-15,31,28,25,25,23,23,89,78,62,1013,1011,1010,14,10,8,21,14,,0.25,6,Rain,35<br />
2013-1-16,30,28,26,24,23,23,89,78,65,1013,1012,1010,14,9,7,23,13,,0.00,5,Rain,36<br />
2013-1-17,31,28,26,23,22,21,83,73,50,1013,1011,1009,18,10,7,27,14,37,0.00,6,,24<br />
2013-1-18,32,28,24,25,23,23,100,82,59,1014,1011,1009,18,10,8,23,10,,10.92,6,Rain,3<br />
2013-1-19,25,23,22,24,23,23,100,99,93,1014,1012,1009,10,5,1,21,8,,43.94,7,Rain,336<br />
2013-1-20,25,23,22,25,24,23,100,98,92,1014,1012,1010,10,6,3,13,6,,9.91,6,Rain,332<br />
2013-1-21,31,27,23,25,24,23,100,85,62,1014,1012,1010,26,11,7,21,8,,0.25,6,Rain,19<br />
2013-1-22,28,26,23,25,24,23,100,91,76,1015,1012,1010,19,9,4,19,10,,4.06,5,Rain-Thunderstorm,22<br />
2013-1-23,31,27,23,25,24,23,100,85,60,1013,1012,1009,16,10,9,23,8,,0.00,5,,21<br />
2013-1-24,31,28,24,25,24,23,94,82,64,1014,1012,1010,18,10,10,23,10,,0.25,5,,27<br />
2013-1-25,31,27,24,24,23,22,100,80,56,1013,1011,1009,19,10,8,21,10,,0.00,6,,28<br />
2013-1-26,31,27,24,24,23,21,89,76,51,1014,1012,1010,19,11,10,23,11,,0.00,6,,29<br />
2013-1-27,31,28,24,24,23,22,91,77,53,1014,1012,1010,19,11,10,23,10,,0.00,6,,34<br />
2013-1-28,31,28,24,24,23,22,89,76,54,1014,1012,1010,16,10,8,23,13,,0.00,6,,31<br />
2013-1-29,31,28,25,24,23,22,89,77,48,1014,1012,1010,18,10,8,23,11,,0.00,5,,31<br />
2013-1-30,31,28,24,24,23,22,89,77,54,1014,1013,1011,16,11,10,23,10,,0.00,5,,26<br />
2013-1-31,31,28,24,25,24,23,94,80,57,1014,1013,1010,16,11,10,24,11,,0.00,5,,29<br />
2013-2-1,31,28,25,24,24,23,89,78,58,1014,1012,1009,18,11,10,24,14,39,0.00,6,,37<br />
2013-2-2,32,29,26,24,23,22,89,75,49,1013,1011,1008,19,10,8,23,14,34,0.00,6,,33<br />
2013-2-3,28,27,25,26,25,23,100,92,79,1012,1009,1008,14,9,1,16,6,29,27.94,5,Rain,15<br />
2013-2-4,29,27,24,25,24,24,100,89,73,1013,1011,1009,18,10,6,16,8,,3.05,5,Rain-Thunderstorm,30<br />
2013-2-5,30,27,24,26,24,23,100,89,70,1014,1012,1010,18,10,3,21,6,,2.03,5,Rain-Thunderstorm,19<br />
2013-2-6,29,27,24,26,24,23,100,91,74,1014,1012,1009,14,9,5,11,5,,8.89,6,Rain,358<br />
2013-2-7,31,28,24,26,24,24,100,86,65,1012,1010,1007,16,10,6,21,6,,0.00,5,,30<br />
2013-2-8,31,27,24,25,24,24,100,91,69,1012,1010,1008,11,8,2,13,5,,7.11,5,Rain-Thunderstorm,313<br />
2013-2-9,31,28,24,26,24,23,100,88,61,1012,1010,1008,14,9,4,21,5,,3.05,5,Rain,43<br />
2013-2-10,26,23,22,25,24,22,100,95,88,1013,1010,1009,11,8,1,13,6,,27.94,6,Rain,2<br />
2013-2-11,30,26,21,25,24,23,100,93,74,1012,1009,1008,14,9,1,14,6,,39.88,6,Rain,10<br />
2013-2-12,28,26,23,26,24,24,100,92,74,1011,1009,1006,16,9,3,19,6,,5.08,5,Rain-Thunderstorm,28<br />
2013-2-13,31,27,23,26,24,24,100,87,63,1010,1009,1006,16,10,4,23,8,,0.51,5,Rain,24<br />
2013-2-14,27,25,23,25,24,23,100,97,82,1011,1009,1007,14,8,1,11,5,,48.01,6,Rain-Thunderstorm,1<br />
2013-2-15,30,26,22,25,24,23,100,87,66,1011,1009,1007,18,10,5,19,8,,4.06,5,Rain-Thunderstorm,9<br />
2013-2-16,30,27,23,25,24,24,94,87,70,1011,1008,1006,18,11,10,16,6,,0.00,5,Rain,355<br />
2013-2-17,26,24,24,24,24,23,100,93,85,1011,1009,1007,16,10,6,16,6,,1.02,6,Rain,13<br />
2013-2-18,30,27,24,25,24,24,100,88,67,1010,1008,1005,18,9,1,19,6,,1.02,5,Rain-Thunderstorm,21<br />
2013-2-19,28,26,24,25,24,23,100,89,73,1011,1008,1006,16,10,7,13,6,,0.00,5,Rain,355<br />
2013-2-20,31,28,25,25,24,23,94,83,65,1010,1008,1006,16,10,6,16,6,,0.00,6,Rain,11<br />
2013-2-21,29,27,25,25,24,23,94,84,62,1012,1009,1007,14,10,3,13,6,,3.05,5,Rain-Thunderstorm,6<br />
2013-2-22,31,28,24,24,23,22,89,77,60,1011,1009,1007,19,11,10,16,8,,0.51,6,Rain,6<br />
2013-2-23,32,28,24,24,23,22,89,75,53,1011,1009,1006,18,11,9,13,10,,0.00,6,,358<br />
2013-2-24,31,28,24,25,24,23,94,81,62,1011,1009,1006,16,11,10,13,6,,0.25,5,Rain,355<br />
2013-2-25,31,27,23,25,24,23,100,86,64,1011,1009,1006,16,9,3,21,6,,44.96,6,Rain-Thunderstorm,339<br />
2013-2-26,32,27,23,26,25,24,100,91,61,1011,1009,1006,23,10,2,19,6,,39.88,5,Rain-Thunderstorm,18<br />
2013-2-27,30,27,24,25,24,24,100,85,67,1011,1009,1007,16,11,10,14,6,,0.51,6,Rain,23<br />
2013-2-28,32,28,24,27,26,24,100,88,57,1010,1008,1006,16,10,5,14,6,,7.87,5,Rain-Thunderstorm,32<br />
2013-3-1,33,29,25,26,25,24,100,85,59,1011,1009,1007,23,10,1,19,8,,21.08,4,Rain-Thunderstorm,35<br />
2013-3-2,32,29,25,26,26,23,100,85,59,1012,1010,1008,16,10,8,23,10,,1.02,6,Rain-Thunderstorm,33<br />
2013-3-3,31,28,25,25,25,24,94,83,64,1013,1011,1009,18,11,10,23,10,,0.00,6,,25<br />
2013-3-4,31,28,25,25,24,22,94,78,54,1014,1012,1010,16,11,10,24,11,39,0.00,6,,20<br />
2013-3-5,31,28,25,25,24,23,94,81,59,1015,1013,1010,16,10,3,24,8,,0.76,6,Rain,16<br />
2013-3-6,32,28,24,25,24,23,89,80,60,1014,1012,1009,18,10,8,21,8,,0.00,6,,26<br />
2013-3-7,32,28,25,25,24,23,100,80,52,1014,1012,1009,18,11,10,23,11,,0.00,6,,36<br />
2013-3-8,32,28,25,25,24,24,89,78,54,1014,1011,1009,18,11,10,24,14,,0.00,6,Thunderstorm,34<br />
2013-3-9,32,28,25,25,24,23,89,80,62,1013,1011,1009,16,10,10,23,10,,0.76,5,Rain-Thunderstorm,34<br />
2013-3-10,32,28,25,25,24,24,94,83,57,1014,1011,1008,16,10,8,13,6,,3.05,6,Rain-Thunderstorm,21<br />
