Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Nicoll Highway,2016,6,1,30.5,22.5,29,29,—,—,—,—,—
Nicoll Highway,2016,6,2,10,5,7.5,10,—,—,—,—,—
Nicoll Highway,2016,6,3,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,6,4,2.6,1.2,1.4,1.6,—,—,—,—,—
Nicoll Highway,2016,6,5,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,6,6,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,6,7,4.8,4.8,4.8,4.8,—,—,—,—,—
Nicoll Highway,2016,6,8,4,2.8,3.6,3.8,—,—,—,—,—
Nicoll Highway,2016,6,9,7.6,5.8,6,6,—,—,—,—,—
Nicoll Highway,2016,6,10,3,1.8,1.8,1.8,—,—,—,—,—
Nicoll Highway,2016,6,11,3.4,1,1.8,3.2,—,—,—,—,—
Nicoll Highway,2016,6,12,11.8,11.6,11.6,11.6,—,—,—,—,—
Nicoll Highway,2016,6,13,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,6,14,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,6,15,3.2,1.8,2.4,3.2,—,—,—,—,—
Nicoll Highway,2016,6,16,5.4,5.4,5.4,5.4,—,—,—,—,—
Nicoll Highway,2016,6,17,23.8,6.2,8.4,13.6,—,—,—,—,—
Nicoll Highway,2016,6,18,0.8,0.2,0.4,0.6,—,—,—,—,—
Nicoll Highway,2016,6,19,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,6,20,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,6,21,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,6,22,1.4,0.4,0.6,0.6,—,—,—,—,—
Nicoll Highway,2016,6,23,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,6,24,40.6,11.2,19.8,31.2,—,—,—,—,—
Nicoll Highway,2016,6,25,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,6,26,0.2,0.2,0.2,0.2,—,—,—,—,—
Nicoll Highway,2016,6,27,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,6,28,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,6,29,0,0,0,0,—,—,—,—,—
Nicoll Highway,2016,6,30,0,0,0,0,—,—,—,—,—
