Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (South),2014,10,1,0,0,0,0,29.3,34.2,25.6,4.8,22.3
Choa Chu Kang (South),2014,10,2,0,0,0,0,29.1,32.5,26,4.2,34.9
Choa Chu Kang (South),2014,10,3,0,0,0,0,29.4,33.3,25.7,5,26.6
Choa Chu Kang (South),2014,10,4,2,1.2,2,2,27.1,29.5,23.8,5.1,32.8
Choa Chu Kang (South),2014,10,5,0.2,0.2,0.2,0.2,26.9,30.3,24.4,5.9,30.6
Choa Chu Kang (South),2014,10,6,0,0,0,0,28.3,32.5,24.8,5.3,25.6
Choa Chu Kang (South),2014,10,7,0,0,0,0,29.2,32.3,26.7,6.1,27
Choa Chu Kang (South),2014,10,8,0,0,0,0,29.2,32.9,26,4.7,22.3
Choa Chu Kang (South),2014,10,9,0,0,0,0,29.1,33.3,26.4,4.6,27.7
Choa Chu Kang (South),2014,10,10,0,0,0,0,29.8,33.6,26.7,4.9,26.3
Choa Chu Kang (South),2014,10,11,0.2,0.2,0.2,0.2,28.6,32.9,26.3,4,28.8
Choa Chu Kang (South),2014,10,12,0.2,0.2,0.2,0.2,27.9,33.3,25.9,3.8,19.8
Choa Chu Kang (South),2014,10,13,0,0,0,0,28.4,34,25.8,3.6,25.2
Choa Chu Kang (South),2014,10,14,26.8,26.2,26.6,26.8,27.3,33.3,23.8,3.4,28.8
Choa Chu Kang (South),2014,10,15,4,3.8,4,4,27.2,31.8,25,2.9,20.9
Choa Chu Kang (South),2014,10,16,9.2,7.8,7.8,7.8,27.3,32,25.1,3,28.1
Choa Chu Kang (South),2014,10,17,5,2,2.2,2.8,26.9,32.5,25.1,3.1,26.3
Choa Chu Kang (South),2014,10,18,6,5.6,6,6,26.4,30.6,24.4,3.7,27
Choa Chu Kang (South),2014,10,19,0,0,0,0,27.8,33.4,24.4,4.2,26.3
Choa Chu Kang (South),2014,10,20,0,0,0,0,27.9,33,25.1,3.4,22.7
Choa Chu Kang (South),2014,10,21,21.2,10.4,13.6,14,26,29.2,23.8,3.3,24.1
Choa Chu Kang (South),2014,10,22,3.2,1,2,3.2,25.8,28.3,23.8,2.5,11.2
Choa Chu Kang (South),2014,10,23,0,0,0,0,28,32.4,24.3,4.3,22.3
Choa Chu Kang (South),2014,10,24,0,0,0,0,29.1,33.6,24.7,4.1,23.8
Choa Chu Kang (South),2014,10,25,0,0,0,0,29.5,33.8,25.3,4.2,22
Choa Chu Kang (South),2014,10,26,0,0,0,0,28.7,33.7,25.9,3.9,36.4
Choa Chu Kang (South),2014,10,27,0,0,0,0,27.5,31.6,25.4,3.8,34.2
Choa Chu Kang (South),2014,10,28,0,0,0,0,27.9,32,24.7,3.3,19.4
Choa Chu Kang (South),2014,10,29,0,0,0,0,29.2,34.5,25.3,4.1,23
Choa Chu Kang (South),2014,10,30,7.2,6.6,7.2,7.2,28.1,33.3,25.5,3.7,27.7
Choa Chu Kang (South),2014,10,31,6,3.4,5.2,6,27.4,34,24.6,3.8,41
