Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (South),2016,3,1,0,0,0,0,28.2,32.3,25.3,10.8,40
Choa Chu Kang (South),2016,3,2,0,0,0,0,28.2,32.4,25.8,13,43.2
Choa Chu Kang (South),2016,3,3,0,0,0,0,28.2,31.9,25.9,13.3,42.5
Choa Chu Kang (South),2016,3,4,1.6,0.8,1.2,1.2,27.7,31,25.7,9.4,39.6
Choa Chu Kang (South),2016,3,5,0,0,0,0,27.6,32.3,25.9,8.6,31.3
Choa Chu Kang (South),2016,3,6,0,0,0,0,28.8,32.6,26.6,8.6,30.6
Choa Chu Kang (South),2016,3,7,0,0,0,0,28.3,31.8,26.3,9.4,35.3
Choa Chu Kang (South),2016,3,8,11,9.2,9.4,9.4,27.3,32,25.2,5,26.3
Choa Chu Kang (South),2016,3,9,0.4,0.2,0.2,0.2,29,34.3,26,6.5,26.3
Choa Chu Kang (South),2016,3,10,6.8,2.8,4,4.8,27.8,33.5,25.4,5.8,26.6
Choa Chu Kang (South),2016,3,11,0,0,0,0,28.8,33.9,25.8,7.2,30.6
Choa Chu Kang (South),2016,3,12,0,0,0,0,28.7,32.6,25.4,8.6,31.7
Choa Chu Kang (South),2016,3,13,8.8,8.2,8.8,8.8,28,33.1,25.2,6.5,35.3
Choa Chu Kang (South),2016,3,14,0,0,0,0,28.3,34.8,26,5,23.8
Choa Chu Kang (South),2016,3,15,0,0,0,0,28.9,34.2,26.3,9,31.7
Choa Chu Kang (South),2016,3,16,0,0,0,0,28.7,34.3,25.2,5.4,22.3
Choa Chu Kang (South),2016,3,17,0,0,0,0,29,34.7,25.5,6.8,28.8
Choa Chu Kang (South),2016,3,18,0,0,0,0,28.8,34.1,25.9,6.8,27.4
Choa Chu Kang (South),2016,3,19,0,0,0,0,28.9,33.3,25.9,7.6,29.2
Choa Chu Kang (South),2016,3,20,0.8,0.8,0.8,0.8,28.7,32.1,26.4,6.1,25.2
Choa Chu Kang (South),2016,3,21,1,0.8,0.8,0.8,28.4,33.8,25.5,5.4,29.2
Choa Chu Kang (South),2016,3,22,0,0,0,0,28.6,31.7,26.7,5.4,34.2
Choa Chu Kang (South),2016,3,23,0,0,0,0,29.1,33.9,26,5.8,28.1
Choa Chu Kang (South),2016,3,24,19.2,18.2,19.2,19.2,28.7,33.7,25.1,6.5,28.4
Choa Chu Kang (South),2016,3,25,0,0,0,0,28.6,34.1,25.9,5,25.2
Choa Chu Kang (South),2016,3,26,0,0,0,0,28.8,32,26,8.3,34.9
Choa Chu Kang (South),2016,3,27,0,0,0,0,29.1,32.9,26.7,11.2,39.6
Choa Chu Kang (South),2016,3,28,0,0,0,0,29.3,32.9,26.7,11.2,39.6
Choa Chu Kang (South),2016,3,29,0,0,0,0,28.9,32.6,26.7,11.2,35.3
Choa Chu Kang (South),2016,3,30,0,0,0,0,29,33.6,25.9,10.1,31.7
Choa Chu Kang (South),2016,3,31,0,0,0,0,29.2,32.9,26.5,10.4,33.1
