Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Paya Lebar,2016,3,1,0,0,0,0,—,33.2,26.3,22,48.2
Paya Lebar,2016,3,2,0,0,0,0,—,31.9,26.3,25.2,50
Paya Lebar,2016,3,3,0,0,0,0,—,32.5,26.3,21.2,44.3
Paya Lebar,2016,3,4,1.2,0.4,0.4,0.4,—,32.1,26.2,19.8,42.5
Paya Lebar,2016,3,5,0,0,0,0,—,33.2,26.2,16.6,37.1
Paya Lebar,2016,3,6,0,0,0,0,—,33.8,26.9,18,38.9
Paya Lebar,2016,3,7,0,0,0,0,—,33.6,26.7,16.9,37.1
Paya Lebar,2016,3,8,0.8,0,0,0,—,32.9,26.1,10.1,31.3
Paya Lebar,2016,3,9,0,0,0,0,—,34.9,26.5,13.3,27.7
Paya Lebar,2016,3,10,0.1,0.4,0.4,0.4,—,34.5,27,9.7,27.7
Paya Lebar,2016,3,11,0,0,0,0,—,35.5,26.7,15.5,38.9
Paya Lebar,2016,3,12,0,0,0,0,—,33.6,27.2,16.6,37.1
Paya Lebar,2016,3,13,22.9,18.6,19,19,—,33.8,25.6,12.2,35.3
Paya Lebar,2016,3,14,0,0.2,0.2,0.2,—,34.4,26.5,11.9,33.5
Paya Lebar,2016,3,15,0,0,0,0,—,33.9,26.2,16.2,37.1
Paya Lebar,2016,3,16,0,0,0,0,—,34.1,25.8,11.9,29.5
Paya Lebar,2016,3,17,0,0,0,0,—,34.4,25.1,15.5,33.5
Paya Lebar,2016,3,18,0,0,0,0,—,34,25.8,11.9,25.9
Paya Lebar,2016,3,19,0,0,0,0,—,33.9,26.2,14.8,29.5
Paya Lebar,2016,3,20,9.3,2.8,3,3,—,32.8,26.8,9.7,27.7
Paya Lebar,2016,3,21,18,14.4,19.2,20.2,—,34,26.8,9,24.1
Paya Lebar,2016,3,22,0,0,0,0,—,33.8,27.3,9,31.3
Paya Lebar,2016,3,23,0,0,0,0,—,34.6,26.8,10.8,27.7
Paya Lebar,2016,3,24,0,0,0,0,—,34.3,26.6,12.6,33.5
Paya Lebar,2016,3,25,0,0,0,0,—,34.7,26.9,11.2,33.5
Paya Lebar,2016,3,26,0,0,0,0,—,33.2,27.3,16.2,40.7
Paya Lebar,2016,3,27,0,0,0,0,—,33.6,26.9,21.6,46.4
Paya Lebar,2016,3,28,—,—,—,—,—,34,26.6,—,51.8
Paya Lebar,2016,3,29,—,—,—,—,—,34.2,26.3,—,46.4
Paya Lebar,2016,3,30,0,0,0,0,—,33.9,26.9,18,42.5
Paya Lebar,2016,3,31,0,0,0,0,—,33.5,26.9,18.7,37.1
