Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Serangoon North,2014,5,1,27,21,26.6,27,—,—,—,—,—
Serangoon North,2014,5,2,0,0,0,0,—,—,—,—,—
Serangoon North,2014,5,3,0,0,0,0,—,—,—,—,—
Serangoon North,2014,5,4,7,7,7,7,—,—,—,—,—
Serangoon North,2014,5,5,12.4,11.8,11.8,11.8,—,—,—,—,—
Serangoon North,2014,5,6,16.8,16.8,16.8,16.8,—,—,—,—,—
Serangoon North,2014,5,7,41.4,23,31.8,35.4,—,—,—,—,—
Serangoon North,2014,5,8,46.8,36,36.4,36.6,—,—,—,—,—
Serangoon North,2014,5,9,0.4,0.2,0.2,0.2,—,—,—,—,—
Serangoon North,2014,5,10,0,0,0,0,—,—,—,—,—
Serangoon North,2014,5,11,0,0,0,0,—,—,—,—,—
Serangoon North,2014,5,12,3.8,3,3.6,3.8,—,—,—,—,—
Serangoon North,2014,5,13,0,0,0,0,—,—,—,—,—
Serangoon North,2014,5,14,3.8,3.8,3.8,3.8,—,—,—,—,—
Serangoon North,2014,5,15,0,0,0,0,—,—,—,—,—
Serangoon North,2014,5,16,27.4,19,26.2,27.4,—,—,—,—,—
Serangoon North,2014,5,17,36.8,28.8,34.4,36.8,—,—,—,—,—
Serangoon North,2014,5,18,11,2.6,4,5.6,—,—,—,—,—
Serangoon North,2014,5,19,12.4,7.2,11,12.4,—,—,—,—,—
Serangoon North,2014,5,20,4.8,1.4,2.4,4.4,—,—,—,—,—
Serangoon North,2014,5,21,9.6,8.6,9.2,9.6,—,—,—,—,—
Serangoon North,2014,5,22,0,0,0,0,—,—,—,—,—
Serangoon North,2014,5,23,5.2,4,4.8,4.8,—,—,—,—,—
Serangoon North,2014,5,24,0,0,0,0,—,—,—,—,—
Serangoon North,2014,5,25,0,0,0,0,—,—,—,—,—
Serangoon North,2014,5,26,0,0,0,0,—,—,—,—,—
Serangoon North,2014,5,27,0,0,0,0,—,—,—,—,—
Serangoon North,2014,5,28,1.2,0.6,0.6,0.8,—,—,—,—,—
Serangoon North,2014,5,29,0,0,0,0,—,—,—,—,—
Serangoon North,2014,5,30,14.6,8,13.4,14,—,—,—,—,—
Serangoon North,2014,5,31,0.2,0.2,0.2,0.2,—,—,—,—,—
