Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Serangoon North,2016,2,1,0,0,0,0,—,—,—,—,—
Serangoon North,2016,2,2,2.8,2,2.4,2.6,—,—,—,—,—
Serangoon North,2016,2,3,0,0,0,0,—,—,—,—,—
Serangoon North,2016,2,4,1.4,1,1.4,1.4,—,—,—,—,—
Serangoon North,2016,2,5,12.4,5.8,7.8,8.6,—,—,—,—,—
Serangoon North,2016,2,6,8.6,3,4.4,4.6,—,—,—,—,—
Serangoon North,2016,2,7,24.2,15,16,16.8,—,—,—,—,—
Serangoon North,2016,2,8,0.2,0.2,0.2,0.2,—,—,—,—,—
Serangoon North,2016,2,9,0,0,0,0,—,—,—,—,—
Serangoon North,2016,2,10,0,0,0,0,—,—,—,—,—
Serangoon North,2016,2,11,0,0,0,0,—,—,—,—,—
Serangoon North,2016,2,12,7.8,5.8,7.2,7.6,—,—,—,—,—
Serangoon North,2016,2,13,0,0,0,0,—,—,—,—,—
Serangoon North,2016,2,14,16.2,13.8,14.8,15,—,—,—,—,—
Serangoon North,2016,2,15,0,0,0,0,—,—,—,—,—
Serangoon North,2016,2,16,0,0,0,0,—,—,—,—,—
Serangoon North,2016,2,17,0,0,0,0,—,—,—,—,—
Serangoon North,2016,2,18,0,0,0,0,—,—,—,—,—
Serangoon North,2016,2,19,92.4,21.8,26.8,39,—,—,—,—,—
Serangoon North,2016,2,20,1.4,0.6,0.6,0.6,—,—,—,—,—
Serangoon North,2016,2,21,0,0,0,0,—,—,—,—,—
Serangoon North,2016,2,22,0,0,0,0,—,—,—,—,—
Serangoon North,2016,2,23,0,0,0,0,—,—,—,—,—
Serangoon North,2016,2,24,16.2,5.4,7.4,9.8,—,—,—,—,—
Serangoon North,2016,2,25,0,0,0,0,—,—,—,—,—
Serangoon North,2016,2,26,0,0,0,0,—,—,—,—,—
Serangoon North,2016,2,27,0,0,0,0,—,—,—,—,—
Serangoon North,2016,2,28,0,0,0,0,—,—,—,—,—
Serangoon North,2016,2,29,0,0,0,0,—,—,—,—,—
