Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Whampoa,2015,5,1,0,0,0,0,—,—,—,—,—
Whampoa,2015,5,2,3.8,3.4,3.8,3.8,—,—,—,—,—
Whampoa,2015,5,3,35.4,18.2,24.8,31,—,—,—,—,—
Whampoa,2015,5,4,0,0,0,0,—,—,—,—,—
Whampoa,2015,5,5,0,0,0,0,—,—,—,—,—
Whampoa,2015,5,6,6.2,6.2,6.2,6.2,—,—,—,—,—
Whampoa,2015,5,7,0,0,0,0,—,—,—,—,—
Whampoa,2015,5,8,0,0,0,0,—,—,—,—,—
Whampoa,2015,5,9,0,0,0,0,—,—,—,—,—
Whampoa,2015,5,10,0,0,0,0,—,—,—,—,—
Whampoa,2015,5,11,0,0,0,0,—,—,—,—,—
Whampoa,2015,5,12,0,0,0,0,—,—,—,—,—
Whampoa,2015,5,13,0,0,0,0,—,—,—,—,—
Whampoa,2015,5,14,0,0,0,0,—,—,—,—,—
Whampoa,2015,5,15,59.8,37.8,57,59,—,—,—,—,—
Whampoa,2015,5,16,0,0,0,0,—,—,—,—,—
Whampoa,2015,5,17,0,0,0,0,—,—,—,—,—
Whampoa,2015,5,18,9.4,7.2,8.8,9.2,—,—,—,—,—
Whampoa,2015,5,19,0,0,0,0,—,—,—,—,—
Whampoa,2015,5,20,0.8,0.8,0.8,0.8,—,—,—,—,—
Whampoa,2015,5,21,0,0,0,0,—,—,—,—,—
Whampoa,2015,5,22,0,0,0,0,—,—,—,—,—
Whampoa,2015,5,23,22.6,15.4,17.6,17.6,—,—,—,—,—
Whampoa,2015,5,24,0,0,0,0,—,—,—,—,—
Whampoa,2015,5,25,0,0,0,0,—,—,—,—,—
Whampoa,2015,5,26,23.4,11.8,17.6,23.4,—,—,—,—,—
Whampoa,2015,5,27,0,0,0,0,—,—,—,—,—
Whampoa,2015,5,28,0,0,0,0,—,—,—,—,—
Whampoa,2015,5,29,0,0,0,0,—,—,—,—,—
Whampoa,2015,5,30,0,0,0,0,—,—,—,—,—
Whampoa,2015,5,31,0,0,0,0,—,—,—,—,—
